"","Row.names","ABCF1","ASF1B","ASS1","CDCA7","CHAF1B","DDX21","DNMT1","DUT","EMB","FEN1","GRWD1","HELLS","HMGA1","HMGB2","IFI16","IFRD2","LY6H","MCM3","MCM5","MCM6","MSH6","NAP1L4","POLA2","POLD1","PRPS1","RAD51","RNASE2","RRM2","SERPINA3","SMC2","SNX5","VCAN","EFS_fct"
"126","PALLJJ",8.560664,6.503319,7.532714,5.086452,5.716848,7.63614,7.826673,7.21141,7.227995,7.134109,7.824802,4.300233,8.92186,7.665788,6.080892,7.270496,7.263993,7.657423,7.45407,8.147465,7.418267,7.79774,6.109072,7.580177,7.909294,5.179381,4.530236,5.94429,5.711482,5.999929,7.181882,6.697357,"EFS_G5"
"127","PALNFE",7.917649,6.274827,6.375621,6.073427,6.30892,7.154317,7.692665,6.967429,5.622116,7.121278,7.213054,6.550153,8.188717,7.663268,4.7877,7.052415,6.483153,7.225102,7.50004,7.332805,7.199286,8.144149,6.751901,7.417627,6.508814,5.616,3.636754,6.683648,4.777755,6.742705,7.110809,5.81953,"EFS_G5"
"128","PALNHZ",8.235691,7.31167,6.483818,8.14169,7.143701,8.623218,8.716599,7.369893,5.570366,8.324796,7.880727,8.227651,8.841755,9.64528,5.483738,7.372368,6.623765,8.445727,9.20347,9.298771,8.586486,8.879583,8.448265,8.082039,8.005068,7.50612,3.196453,8.380931,4.634032,7.522219,8.962269,7.085274,"EFS_L5"
"129","PALNVP",8.608498,6.92205,6.238705,5.618791,6.341403,8.089675,8.175495,7.685816,6.303297,7.642286,7.624899,6.740287,8.351643,7.917546,5.338642,6.956322,6.364498,8.129572,8.136053,7.705408,7.651809,8.471113,6.86059,7.393827,7.77862,6.203708,3.945281,6.848678,4.612192,7.495511,7.300301,6.356495,"EFS_G5"
"130","PALPIN",7.823238,5.966946,6.33304,5.54442,5.98704,7.193972,7.614791,6.936953,5.2547,6.866864,7.043925,6.405711,8.063346,6.749242,6.192951,6.642744,6.656612,7.10081,8.151287,7.092298,7.529298,8.248401,6.7343,7.460889,6.709132,5.348172,4.178047,5.561055,5.017924,6.124164,7.508118,6.33017,"EFS_G5"
"131","PALPSY",7.885013,6.490408,6.446965,6.820654,6.081877,7.707606,7.805183,7.43729,4.714927,7.465134,6.991039,7.889454,8.21977,8.136738,5.933649,6.880335,6.457445,7.681422,8.378031,7.765245,7.941453,8.471292,7.146672,7.239909,7.201305,6.556244,4.479183,7.542638,5.076755,6.980918,7.802503,6.970382,"EFS_G5"
"132","PALSAE",8.248071,7.313144,7.004473,7.721696,6.899927,7.713248,8.031543,7.314992,4.887716,8.196268,7.528063,7.589326,8.284295,9.096601,6.003972,7.159137,6.49644,8.672196,9.29019,8.784245,8.257073,8.467053,7.609342,7.960692,7.106931,7.428002,4.859974,7.854636,5.659211,7.312053,7.48908,8.916589,"EFS_L5"
"133","PALTYB",8.428599,6.119743,7.893504,5.019728,6.530714,8.022946,7.546509,7.655643,6.528321,7.074601,7.539693,4.719739,8.644707,7.797974,7.34142,7.01064,6.889888,7.410572,7.577005,7.910192,7.291866,8.371324,6.890493,7.278784,9.41164,5.011112,4.69815,5.984377,6.110925,7.458877,7.888073,8.089246,"EFS_L5"
"134","PALUDH",8.28912,7.184317,6.657583,6.851616,6.764872,7.723624,8.373711,7.443756,4.325859,8.319862,7.597491,6.692606,8.420892,9.723417,4.905527,6.962013,6.631405,8.210326,8.883054,8.960123,8.087796,8.444232,7.64718,7.654476,8.257512,6.652955,4.081883,7.835305,5.350385,8.01793,7.422902,7.131314,"EFS_G5"
"135","PALUYS",8.159857,8.079961,6.243919,7.680466,7.063698,7.49502,8.634641,7.391453,4.997237,8.823763,7.631258,8.093056,8.357055,9.372978,5.864276,6.964168,6.894895,8.537861,9.090998,9.22082,8.465724,8.900627,8.733008,7.793923,7.74882,7.371624,3.992753,8.768115,4.900425,7.812636,7.970391,6.430263,"EFS_L5"
"136","PALVKK",8.026209,6.483004,8.078443,5.86096,5.847107,8.001,7.859295,6.970424,6.704021,7.192254,7.190362,6.037986,8.28623,8.123266,8.059566,7.14661,6.771953,7.125064,8.008236,7.250227,6.865169,8.243946,7.162981,7.226217,7.812807,5.523168,5.170266,6.900853,8.210712,6.469198,7.677313,9.237727,"EFS_L5"
"137","PALVUC",7.777723,6.453934,6.594604,6.541075,6.190788,7.029904,7.7012,6.801011,5.05208,6.957846,7.022189,6.466408,8.236771,7.469233,5.529562,6.925695,6.96888,7.181435,8.127316,7.349756,7.252586,7.970374,6.431759,7.520173,6.812356,5.704542,3.842283,7.109299,4.918598,6.799067,6.988838,6.832589,"EFS_G5"
"138","PALVVH",7.747602,7.090564,6.445937,6.430849,6.650903,7.894144,8.123481,7.13642,4.585447,7.511453,6.996077,7.778753,8.206895,8.196548,5.769618,6.751972,6.289387,7.563492,8.520405,7.875079,7.692576,8.606809,7.319928,7.250508,6.954352,6.067215,3.603333,7.477867,4.829326,7.388088,7.862765,8.293105,"EFS_G5"
"139","PALWBT",7.979301,6.326707,7.631439,5.235862,5.961921,7.331891,7.451511,6.965798,6.693904,6.764754,7.210316,4.709807,8.280948,6.616161,6.265201,7.114173,6.626083,6.812378,7.489015,7.124302,6.914425,7.958604,6.017687,7.341397,7.224764,5.148081,4.481551,5.896022,5.821321,5.776581,7.206978,8.016174,"EFS_G5"
"140","PALWSJ",8.636696,7.729408,6.850571,7.912668,6.877711,8.049928,8.618232,8.034867,5.713557,8.475959,7.721955,6.912977,8.661598,9.536742,6.288673,7.276741,6.465575,8.45366,9.133794,9.486918,8.639839,8.606936,8.114182,7.647569,7.960779,7.243221,4.626437,8.918985,5.197006,7.977465,7.81766,6.674466,"EFS_G5"
"141","PALWVJ",8.610388,6.957943,6.7098,7.150875,6.34658,8.647166,8.5721,7.667701,4.863391,8.865144,7.770505,7.092829,8.990017,9.185107,6.460157,6.811652,7.719255,8.041088,8.875515,8.428466,7.919562,9.096031,8.003798,7.691586,7.621177,6.628601,3.90251,8.189947,4.770815,7.12909,8.0334,9.770154,"EFS_L5"
"142","PALWXP",8.271949,6.737109,6.39325,7.752762,6.731345,7.67664,8.426377,7.920434,6.461002,7.970814,7.114265,7.721844,8.252644,9.2136,6.56805,6.774411,6.133145,8.047102,9.02156,9.028171,8.228757,8.858711,8.260962,7.272222,7.694777,7.153369,3.617443,8.087415,4.936315,7.888127,8.025401,6.431073,"EFS_G5"
"143","PALXTB",7.861272,5.9484,6.888475,5.2856,6.212478,6.955729,7.817815,6.938167,6.439979,7.051153,6.921295,6.186252,8.163125,7.863665,6.681094,6.404859,7.286283,6.610093,7.327352,6.615061,7.612427,8.673889,6.744855,6.991494,7.523226,4.934272,3.55699,6.126865,5.076001,6.8076,7.834205,8.06463,"EFS_G5"
"144","PALXTE",7.997661,6.540181,6.413444,6.888152,6.312982,7.141274,7.804251,7.130083,4.845261,7.679936,7.0007,7.376944,8.263879,8.549828,5.647678,6.666469,6.726587,7.583571,8.625109,8.247856,8.0253,8.592997,7.538448,7.066109,7.283052,6.125579,3.688076,7.974095,4.736424,7.2169,7.639305,6.170873,"EFS_G5"
"145","PALXUM",7.740528,6.134839,6.873084,5.808165,6.679634,7.652716,7.651014,7.260663,4.849759,7.247082,6.924121,6.867902,8.252863,8.23884,5.482201,6.67494,6.38976,6.78536,7.623113,7.703756,7.817116,8.486452,6.83903,6.922306,8.047519,5.133187,3.64129,6.456687,4.494135,7.128234,7.464773,6.982326,"EFS_L5"
"146","PALYEC",8.41287,7.549647,6.544291,7.959304,6.900649,8.288396,8.706611,7.746803,6.241597,8.430571,7.566583,8.487907,8.836118,9.604045,6.27671,7.220467,6.816365,8.632599,9.076594,8.653886,8.236234,8.666968,8.276925,7.899674,7.503276,7.375016,3.952137,8.436715,4.717296,7.491374,8.20497,7.819822,"EFS_L5"
"147","PALYLZ",7.866515,6.706046,6.480434,6.226346,5.990514,7.549097,7.871618,6.978167,5.160202,7.216706,7.257347,7.089004,8.338324,7.828471,6.041209,6.630658,6.74344,7.485334,8.242994,7.640603,7.28121,8.270475,6.863715,7.36272,6.942049,5.830903,3.928384,6.902398,4.810058,7.055743,7.309008,7.035015,"EFS_G5"
"148","PALYPW",7.737904,5.902846,7.95108,5.222764,5.39566,7.407508,7.53126,6.927472,5.76944,6.919028,7.399874,5.022149,7.781407,7.406087,8.004553,6.931854,6.630742,6.999115,7.682868,6.922175,6.958887,8.529062,6.62161,7.251904,7.612912,4.661595,4.513,5.578846,7.168791,6.104833,7.738553,8.900309,"EFS_L5"
"149","PALZRG",8.822223,7.596584,9.532526,7.995426,6.640239,8.289042,8.677073,7.924217,5.894458,8.16912,7.67739,7.99045,9.606427,9.91566,5.93294,7.388066,6.15358,8.92985,9.189808,9.257874,8.236883,8.392794,8.103002,8.034254,7.630721,7.421448,4.060337,9.501306,4.988824,7.45125,8.496922,7.63904,"EFS_L5"
"150","PALZZV",8.175681,7.431397,6.431625,8.356362,7.035247,8.083793,8.754039,8.104381,5.513171,8.926537,7.868834,8.024091,8.703751,9.704456,5.687619,7.198105,7.51105,8.934412,9.703205,9.825078,8.575694,8.789969,8.758094,7.857502,8.161093,7.741278,3.7232,8.582942,4.599141,8.264892,8.599565,7.792939,"EFS_L5"
"151","PAMACS",8.212625,6.578496,6.293082,7.106994,6.077607,8.743174,7.993784,7.661439,6.193464,8.083075,7.734905,6.526946,8.561635,8.493976,5.816857,6.936229,6.571273,8.048526,8.362131,8.074749,7.816817,8.31672,7.274437,7.435055,7.664654,6.547477,3.772834,7.246491,4.822012,7.339541,7.600797,7.913572,"EFS_L5"
"152","PAMAFV",8.235535,6.840927,6.474927,7.044172,6.20439,7.279129,7.807609,7.420141,4.634331,7.637441,7.295108,7.60021,8.50457,8.87369,5.446381,6.780058,6.488297,8.259168,9.009704,8.299361,7.730329,8.13591,7.478488,7.516839,7.012536,6.753271,3.943376,7.767045,4.668106,6.927378,7.447869,6.735019,"EFS_G5"
"153","PAMAJT",8.017149,6.97956,6.459917,6.755196,6.435285,6.977416,8.144685,7.126102,4.821419,7.611119,7.15922,6.633173,7.977319,9.140616,5.417218,6.828782,7.521667,7.70453,8.415245,7.532183,7.785801,7.928767,6.85932,7.456093,6.74286,6.141925,3.56013,7.670698,6.886805,7.260471,7.37196,5.766193,"EFS_G5"
"154","PAMBDH",7.995728,7.03686,6.60393,7.750961,6.734144,8.005312,8.275702,7.094113,5.10107,8.401275,7.573167,6.792138,8.22771,8.892079,4.6278,7.257504,6.944905,8.422929,9.214346,9.115058,8.003708,8.536814,8.372189,7.790642,7.474948,6.835964,4.245216,8.038519,4.802722,7.342147,7.977575,6.775115,"EFS_G5"
"155","PAMBMJ",8.277852,7.42638,6.893985,8.005118,6.621433,8.006438,8.455628,7.711249,5.668226,7.884075,7.044923,8.554444,8.678123,9.760992,6.796995,6.841119,6.204267,8.828504,9.361805,9.080725,8.197757,8.324227,7.956691,7.704578,7.421717,7.370923,3.951523,8.804574,4.704512,7.853061,8.276652,9.162285,"EFS_L5"
"156","PAMBYG",7.87252,6.887769,7.344868,7.556158,6.480175,7.884604,8.210483,7.416415,5.363018,7.927577,7.366735,8.444867,8.269373,9.00054,6.727394,6.83752,6.968093,8.05672,8.7488,8.813372,8.110029,8.54865,7.642531,7.322938,7.400066,6.705692,4.126134,7.790194,4.964523,7.287337,8.172448,9.085472,"EFS_L5"
"157","PAMCXF",9.034339,7.45388,6.74757,7.225008,6.945995,8.599234,8.602664,7.043394,4.832754,8.508101,7.862108,7.391149,9.15739,10.125977,6.699879,6.990746,6.989623,8.525558,8.879742,8.906099,8.120917,8.743082,7.398935,7.592355,7.650185,6.540007,3.46023,8.552511,5.075488,7.545071,7.476222,9.4863,"EFS_L5"
"158","PAMEHH",8.575289,6.496093,8.914967,5.12175,5.466525,7.653707,7.505405,7.326494,6.794386,6.785875,7.190757,5.486006,8.128362,7.98934,7.222646,6.854657,6.282687,7.424492,7.297917,8.354202,7.599843,8.231076,6.533328,6.845508,8.116524,5.24074,4.090773,6.226903,6.371945,7.325592,7.496559,8.446917,"EFS_L5"
"159","PAMEZH",7.801208,6.620497,7.999682,6.894651,6.532375,6.83732,7.818584,7.21118,5.284174,7.965304,7.367745,6.915708,8.440077,8.748092,6.37427,7.124236,7.108272,7.783029,8.213756,8.286078,8.041578,8.308273,8.03954,7.425941,7.918933,6.302953,3.996961,8.089958,5.806934,6.732575,7.615745,8.483313,"EFS_L5"
"160","PAMJED",8.656653,6.861257,6.703905,7.288876,7.187013,8.735066,8.733149,7.185402,5.3039,7.948536,8.338709,7.827611,8.742136,8.997379,5.34008,7.10325,7.081917,8.013206,9.088918,8.808073,8.641618,8.801195,7.813676,7.581869,7.504227,6.90742,4.108321,8.511566,5.298885,7.04437,7.574421,7.843298,"EFS_L5"
"161","PAMLMY",8.665949,7.677924,7.618135,7.782768,6.815638,7.445635,8.831313,7.421173,5.650222,9.076949,7.920024,7.282178,9.09885,9.836762,4.702839,7.335719,6.869002,8.820921,9.726351,8.720112,7.893063,8.615357,8.597116,8.173236,6.9919,7.175475,4.388751,8.829349,4.818492,7.070159,7.720018,7.481184,"EFS_G5"
"162","PAMLNB",8.284034,7.068279,9.495482,5.405224,5.716443,8.208536,7.712083,7.182619,5.037204,7.129642,7.973044,6.904459,7.618408,7.397869,7.201939,7.252181,6.333535,7.364888,7.809572,7.279051,8.296457,8.342007,6.750379,7.140145,7.419452,5.535248,4.262441,6.932364,5.663596,6.688016,8.725871,8.968824,"EFS_G5"
"163","PAMMXF",8.151746,7.399744,7.237215,7.810307,7.282045,8.850679,8.754491,8.109075,5.795264,8.343683,7.838131,8.465705,8.854481,9.611832,5.626311,7.158181,6.896528,8.587238,9.023034,9.020559,8.539981,9.062324,8.388852,7.862405,7.804512,7.451912,3.735286,8.012112,4.499006,8.380392,8.604539,8.625355,"EFS_L5"
"164","PAMMYR",8.171138,7.590013,7.055292,7.385578,6.429616,8.008433,8.5171,7.236265,6.998578,8.273933,7.549606,7.385859,8.609139,9.259448,7.74751,6.988244,6.7634,8.432145,9.357615,8.202949,7.641883,8.716658,8.453955,7.722342,7.477901,6.885028,4.101804,8.270614,4.677642,7.335429,7.89589,7.04884,"EFS_L5"
"165","PAMNAL",8.044007,7.204719,7.211906,7.122458,6.663049,8.233973,8.359473,7.405043,5.435444,7.774589,7.883799,8.018634,8.310035,8.608166,6.273656,6.750779,6.73473,8.053391,8.870465,8.341183,8.050979,8.711593,7.79302,7.652413,7.449444,6.762069,4.213299,8.437087,5.050995,7.790037,7.610364,7.60314,"EFS_G5"
"166","PAMNLH",8.462494,6.80452,6.669058,6.816749,6.402412,8.039242,7.959509,7.288464,5.43479,8.175006,7.458153,6.578344,8.713102,8.976135,6.676195,6.977504,6.838293,7.418893,8.457671,7.637217,7.654486,8.647445,7.760896,7.807044,7.524846,6.233459,4.027289,7.583255,5.126936,6.6659,7.565465,8.394714,"EFS_L5"
"167","PAMVCL",7.832457,7.017546,6.499549,6.71426,6.725628,8.114203,7.844487,7.721432,5.940224,7.990781,7.217115,7.546165,8.120756,8.563453,5.856837,7.056199,6.813933,7.993676,8.18313,8.11071,7.63611,8.508146,7.470286,7.453597,7.28942,6.832816,3.555379,7.604717,7.313036,8.118509,7.504434,5.988591,"EFS_G5"
"168","PAMXWF",8.090153,7.189172,6.419442,7.466757,6.744462,8.090376,8.557642,7.203564,4.322323,8.459072,7.460703,8.066662,8.707081,9.334227,4.985462,6.676642,6.345655,8.059099,8.759611,8.486726,8.192632,9.2183,8.176515,7.750556,7.718955,7.021528,3.557077,8.328262,5.023308,7.56419,7.674085,8.686108,"EFS_L5"
"169","PAMYCE",7.841078,7.287694,6.700172,6.929456,6.286568,6.982602,8.376044,7.265158,4.997344,7.933898,7.266652,7.408764,8.196644,9.41899,6.153299,7.060505,7.062423,7.754855,8.613428,7.530299,7.411302,8.311189,7.610273,7.862604,7.308786,6.792357,3.649959,7.984955,5.017322,7.00324,7.249937,7.1943,"EFS_L5"
"170","PAMYVA",7.743701,6.746519,6.541887,6.609508,6.262281,7.072693,7.761691,6.941848,5.235424,7.922693,7.138927,7.056928,8.190182,8.583575,5.859675,6.921023,7.030385,7.418397,8.441578,7.905221,7.57165,8.337327,7.398025,7.432092,7.215878,6.328337,4.205946,7.519966,5.040991,7.033202,7.014608,7.762465,"EFS_G5"
"171","PAMZCE",7.883084,7.050041,6.537036,6.84669,6.24515,7.619744,7.99657,7.161958,5.198421,8.031287,7.696643,6.3631,8.385882,8.968911,6.43375,7.038987,7.090352,7.966532,8.466538,8.143752,8.089358,8.08342,7.227519,7.55116,7.147207,6.370963,4.11517,7.754391,4.962385,6.445949,7.649289,7.281315,"EFS_G5"
"172","PAMZMG",8.304095,7.212971,7.271082,7.803827,6.988599,8.477556,8.891658,7.750292,5.407395,8.687794,7.821892,8.33279,9.002253,9.781449,5.440022,7.46153,6.617557,8.499978,9.43365,9.049334,7.995446,8.748616,8.28911,7.962202,7.434851,7.135039,3.887804,8.148477,4.704295,7.444219,8.362387,7.454913,"EFS_L5"
"173","PAMZYM",8.11315,7.410081,6.610579,7.516699,6.448612,7.770853,8.558842,7.274668,6.585402,8.407839,7.397135,8.37418,8.124356,9.340198,7.252537,6.625126,6.779698,8.229187,8.902929,8.873191,8.185217,9.236013,8.539454,7.49525,7.414716,6.821338,3.964399,8.621295,4.898898,8.063214,7.884914,7.032436,"EFS_G5"
"174","PANBJH",7.898662,7.361781,6.554734,7.436619,6.804246,7.593593,8.240298,7.47293,4.438562,8.060346,7.109958,7.78999,8.612123,8.477975,5.411352,6.836676,6.670457,7.950987,8.896628,8.494582,7.808111,8.379708,7.940986,7.804423,7.492862,6.843709,3.663586,7.968084,4.80636,7.408214,7.469322,8.313147,"EFS_L5"
"175","PANBMJ",7.739487,6.344554,7.380006,5.369164,5.627646,7.014187,7.721017,6.975575,6.416148,7.315101,7.321389,5.509994,8.106629,7.825144,7.82748,7.056298,7.587123,7.061893,7.664299,6.897295,7.101799,8.383076,6.592072,7.396114,7.402495,5.161641,4.17128,6.392909,6.310435,5.848141,7.434189,7.936329,"EFS_L5"
"176","PANBSP",8.568256,6.872564,7.55392,7.620526,6.608446,9.058106,8.692529,8.156775,7.277979,8.328941,7.84284,8.286646,8.478052,9.777665,6.699477,6.669279,6.319845,8.732688,8.85801,8.84721,8.376579,8.802722,8.083487,7.661115,8.209643,7.129905,3.592804,8.035343,4.608548,8.161578,8.472173,9.345723,"EFS_L5"
"177","PANCYF",8.032902,7.324223,6.552161,7.260556,6.591022,8.45872,8.157188,7.824951,6.8165,8.123656,7.579635,8.02797,8.275996,9.396047,8.82488,7.102366,7.314625,8.360691,8.866579,8.713329,7.897999,8.69022,7.864477,7.695098,8.211815,6.849741,3.95564,7.887033,5.268146,7.544108,8.303305,8.695615,"EFS_L5"
"178","PANDHZ",8.315948,6.841393,7.193742,6.490767,6.282067,7.759119,8.321051,6.865141,6.380184,8.297809,7.426569,6.290149,8.879098,9.726063,7.252609,6.520239,6.01417,7.227471,8.724078,7.725934,7.239904,8.026209,7.723122,7.317615,7.528806,5.840699,3.839619,7.52638,5.309552,6.508244,7.563747,8.349516,"EFS_L5"
"179","PANGTS",7.993472,7.417014,6.133135,7.198558,6.74681,7.592224,8.073949,6.86722,5.402649,8.635119,6.956617,8.23584,8.337631,9.349792,5.803728,6.780509,6.471192,7.871225,8.674146,8.986232,7.939062,9.137967,8.378409,7.191363,7.625114,6.665876,3.953297,8.368944,5.090181,8.21834,7.499667,8.411585,"EFS_G5"
"180","PANHUA",7.727745,6.95974,6.43975,6.653476,6.462781,7.510588,8.005694,6.909997,5.90587,8.041225,7.185452,7.440306,8.295981,8.460722,6.259916,6.884772,6.657963,7.605339,8.68192,8.312302,7.678562,8.258707,7.883196,7.380179,7.504254,6.266358,4.037884,7.588146,4.927155,7.177564,7.423059,6.449398,"EFS_L5"
"181","PANLSG",8.219068,6.80691,6.898639,7.29581,6.008008,7.311968,8.092079,6.781695,5.235246,7.490505,7.578571,7.083251,8.415754,8.850256,5.533231,6.888653,6.90247,8.304343,8.506563,7.775166,7.675876,8.156383,7.481015,7.571368,6.664015,6.495863,4.183181,7.335979,4.904895,7.016231,7.625074,7.093984,"EFS_L5"
"182","PANNIJ",7.987813,7.281919,7.89121,6.880622,6.206567,8.380374,8.221091,7.121417,5.801234,8.039028,7.544405,7.280069,8.610158,8.574548,6.685656,7.258392,7.038135,7.738691,8.541473,8.395272,7.760778,8.32991,7.748874,7.498326,7.542809,6.387461,4.108871,8.093215,5.261385,7.026657,7.588921,8.635202,"EFS_L5"
"183","PANRRW",7.898531,6.623067,6.900259,6.700047,6.424653,7.265564,8.04323,6.837865,6.497347,8.068056,7.453957,7.322405,8.125563,8.130515,6.618421,6.790582,7.243675,7.632779,8.237593,8.429742,7.593153,7.806605,7.550799,7.342119,7.734065,5.870875,3.640816,7.532274,5.091907,7.067185,7.568006,6.83163,"EFS_L5"
"184","PANUKV",8.424194,7.357388,6.441362,8.501573,7.518118,8.68852,9.316405,8.51251,5.821003,9.209007,7.543912,8.756831,9.185173,10.237994,6.218439,7.562042,6.982463,8.973584,9.794941,9.817373,8.934699,8.915289,9.108723,7.430752,8.187345,8.142158,3.772161,8.796522,4.578522,8.560279,8.67944,5.697208,"EFS_L5"
"185","PANUVK",8.524097,7.01083,7.53421,7.450165,6.989597,8.978984,8.358531,7.689446,6.314711,8.351721,7.656638,7.838642,8.54332,10.071937,7.001293,7.02331,6.577255,8.417871,9.098734,8.594029,7.88994,8.71592,8.030833,7.408574,8.002081,7.023428,3.890614,9.190474,6.816697,7.394055,7.969994,9.443265,"EFS_G5"
"186","PANVAN",8.094327,6.697721,7.508297,6.318701,5.792583,8.106956,7.794903,6.653095,6.515338,7.280967,7.366375,5.854763,8.366584,7.807934,7.493967,7.192764,7.005378,7.3341,8.413142,7.672297,7.2637,7.999073,6.708358,7.490962,6.922388,5.670332,4.636029,7.11352,5.307198,6.249906,7.51485,8.933802,"EFS_L5"
"187","PANYGR",8.431841,7.424906,6.586585,7.338286,6.739439,7.822954,8.870921,7.975319,5.748874,9.227642,7.787911,7.269695,8.392545,9.763819,5.549403,6.995774,7.014062,8.487017,9.134367,8.712047,8.257793,9.059537,8.759105,7.906765,7.719434,7.509582,4.040321,8.050234,4.604481,8.059155,7.992722,8.058456,"EFS_L5"
