"","Row.names","CDC42","CRK","EFNB2","EFNB3","EPHB3","GRB7","GRIA1","ITSN1","KALRN","KRAS","MAP2K1","MAP4K4","MAPK1","NRAS","PAK1","PIK3R1","PTK2","RAP1A","RAP1B","RASA1","SHC1","SYNJ1","WASL","EFS_fct"
"1","PAAPFA",9.102997,8.719774,8.575929,7.368981,7.353915,7.14634,7.026222,7.442002,7.626511,8.342479,8.285188,8.696084,9.047032,9.452222,7.198904,8.692898,8.793864,7.148054,7.974787,8.04774,8.99062,8.06344,8.256673,"EFS_L5"
"2","PACLJN",9.319133,8.976338,8.584382,8.09143,7.722451,7.20085,8.885162,8.131527,7.890692,8.536143,8.631856,9.306966,9.316462,10.007726,8.551904,9.308134,8.974116,7.672999,7.899706,8.446367,8.860373,8.218295,9.012462,"EFS_G5"
"4","PACRYY",9.507686,8.875159,9.066329,7.446257,7.35014,6.49964,8.983135,7.629483,7.850248,8.888948,8.142311,9.244481,9.110128,9.748925,8.837453,8.417528,8.960199,7.587662,8.356414,8.232843,8.415586,8.026349,9.066704,"EFS_G5"
"5","PACRZM",9.240843,8.911692,8.000234,7.744571,7.540946,7.38362,7.733885,7.775451,7.491709,8.439522,8.21954,8.933318,8.898156,9.755069,8.528366,8.446739,8.91805,7.687169,8.150214,8.096658,9.900543,7.902783,8.939693,"EFS_L5"
"6","PACSNL",9.638397,9.488394,8.001387,7.283126,6.456547,6.11799,7.751636,8.128466,7.788658,8.910674,8.915456,8.866341,9.221039,10.238441,8.788511,8.978921,9.03101,7.92285,8.493704,8.800493,9.113205,8.174422,8.67793,"EFS_L5"
"7","PACSSR",7.363243,7.947149,6.214178,6.273382,6.569197,6.36011,6.714248,6.927119,7.254712,6.277197,7.149641,8.922806,7.343894,7.566955,7.437722,7.827384,8.263926,5.779472,5.724641,6.854778,7.522619,7.225797,7.256468,"EFS_L5"
"8","PACUGP",8.648961,9.128583,8.522073,7.048305,6.371584,6.63268,7.150011,7.834416,8.163898,8.149058,8.020578,8.909239,8.668985,10.037256,8.343305,7.836152,8.728627,7.332037,7.76882,8.500755,8.062859,7.750903,8.44721,"EFS_L5"
"9","PACVNB",9.367681,8.487687,8.146734,7.178575,7.047453,6.9952,8.92374,8.041157,8.328393,8.005192,7.991938,9.203773,9.125372,9.276275,8.338765,7.649989,8.700155,7.300256,7.896656,7.912112,7.70492,8.06313,8.458076,"EFS_L5"
"10","PACYGY",8.844611,8.651862,8.800528,7.01439,6.65671,5.8896,7.365724,6.923376,7.17976,8.13793,8.235067,8.190983,8.880235,9.180075,7.735592,8.503508,8.833034,6.634422,7.76636,7.47544,9.085216,7.206052,8.161033,"EFS_L5"
"11","PACZPX",9.06889,8.496811,7.318061,6.117717,6.150261,6.91847,4.7218,7.207509,8.26696,7.907854,7.484027,8.869991,8.115988,8.976878,7.830395,8.769315,8.655345,7.25228,7.70529,8.529405,8.296657,7.305601,8.521934,"EFS_G5"
"12","PADENF",9.709414,8.497662,8.587404,7.507373,7.778801,7.05843,9.082958,7.897232,8.933062,8.733896,8.182863,9.083712,9.710882,9.929457,7.704985,8.135089,9.024757,7.823618,7.999476,8.683709,9.122635,8.386958,8.985008,"EFS_G5"
"13","PADFLI",8.924476,8.468143,7.693549,6.646532,6.285274,6.67879,9.183039,7.840817,7.189591,8.370815,7.944091,9.047932,8.869337,9.887398,8.661034,7.747695,8.830797,7.278636,7.849576,8.03583,8.018471,8.103854,8.013278,"EFS_G5"
"14","PADHWC",9.38976,8.557552,7.096692,7.536118,6.862219,6.61256,6.714557,7.884439,7.252205,7.656543,8.301426,8.311452,9.005037,9.09137,7.845383,8.749976,8.945518,7.970069,8.216703,8.168944,8.384349,8.389876,8.593857,"EFS_L5"
"15","PADIEY",8.806268,8.274499,8.624182,7.659635,8.597383,6.31187,5.946284,8.409165,8.181901,8.264957,7.527276,8.474422,8.940115,9.348763,7.463393,7.570168,8.803672,6.263714,7.193711,8.018928,8.925469,7.931119,8.579549,"EFS_G5"
"16","PADIHC",9.21027,8.942299,7.257732,7.684639,8.216146,6.80993,7.171805,7.165284,8.03809,8.270802,8.59936,8.964712,8.959667,9.648406,8.081741,9.353466,8.957463,6.503785,7.57085,8.000215,9.282732,7.019534,8.734344,"EFS_L5"
"17","PADINC",9.191483,8.296526,7.210341,6.595625,6.556136,6.82238,4.61904,7.697448,8.086071,8.188769,7.839093,8.733802,9.054325,9.332141,7.996239,8.873105,8.782932,7.367721,8.059601,8.264638,9.369847,8.095048,8.653737,"EFS_L5"
"18","PADIRB",8.585304,9.363925,8.402945,7.861956,7.015208,6.59925,8.005337,7.783307,7.444125,8.588973,8.198234,8.684888,9.38643,10.531731,8.27906,9.606708,8.628928,7.455314,8.212253,8.632401,9.186815,8.444811,9.207612,"EFS_L5"
"19","PADKFS",9.544141,8.414181,8.435267,7.125218,7.285617,6.92613,8.10823,7.627328,8.093259,7.836278,8.329566,9.021398,9.179449,9.885925,7.686637,9.172659,8.646501,7.437748,8.209205,8.086419,8.788548,8.042715,8.665559,"EFS_L5"
"20","PADKFU",9.06969,8.458141,8.274818,7.497397,7.631426,7.05683,8.87502,7.646777,7.866074,8.076348,8.407639,8.779432,8.867202,9.117947,7.325772,8.055394,8.914549,7.013356,8.211851,8.437143,8.785702,8.019382,8.36456,"EFS_G5"
"21","PADKGF",9.964546,8.955139,8.221299,6.853649,6.081377,6.88424,7.312331,7.903768,7.309254,8.249957,8.793524,8.45638,9.180459,9.90579,8.055283,8.83285,9.033522,8.52831,9.423034,8.420239,8.641171,7.95059,8.189134,"EFS_G5"
"22","PADKNE",9.280286,8.42733,8.751517,7.4845,6.561328,6.62338,7.400229,8.087912,7.44689,9.046714,8.170636,8.513726,9.514046,9.802161,7.558558,8.461012,8.781934,7.14527,7.844457,8.247823,8.440948,8.110067,8.984659,"EFS_L5"
"23","PADKRU",8.459191,8.740099,7.959883,7.631935,6.828844,6.17668,7.22499,7.4672,7.874084,7.513814,7.465389,8.479397,8.82336,8.978688,6.893608,7.597394,8.585822,7.135505,7.325703,7.218682,8.248425,7.151413,8.087783,"EFS_L5"
"24","PADKVV",9.300851,8.212836,8.016884,6.970685,7.100986,6.58911,7.074332,7.479612,7.639068,7.866187,8.245276,8.866619,8.8273,9.153013,7.500375,8.6969,8.46435,7.581575,8.539971,7.990241,8.376877,7.806275,8.193197,"EFS_L5"
"25","PADKXS",9.205499,8.75668,7.368228,7.034738,6.810487,7.18503,7.368464,7.414315,7.249496,8.436412,8.444679,8.630545,8.869374,9.471932,7.779571,9.078579,8.778096,7.588864,11.08787,8.176471,9.44386,7.95763,8.506067,"EFS_L5"
"26","PADKYP",9.422833,8.748627,8.11271,6.567594,6.394826,6.73168,7.394253,7.680012,6.734015,7.934407,8.44932,7.910634,8.696849,9.489293,7.454135,8.006283,8.637194,7.981508,8.571076,7.876593,8.726343,7.345815,8.160047,"EFS_L5"
"27","PADLDA",9.566143,8.621252,7.407452,7.411025,6.709522,6.42577,6.374592,7.030763,6.339374,8.139342,8.49107,7.760166,8.690289,9.319292,7.599429,7.975817,8.235783,8.040944,8.766937,7.759489,9.17113,7.349511,8.006235,"EFS_L5"
"28","PADLDT",8.493804,8.563757,8.731444,7.522837,6.320864,6.86645,6.515787,7.957643,7.562185,7.611998,7.918604,8.951227,8.556793,9.281062,7.885418,8.072714,8.580707,6.470818,7.308021,7.574233,8.592916,7.128967,8.222519,"EFS_L5"
"29","PADLES",9.927755,8.769411,7.815502,7.250047,7.884115,6.70736,6.086188,8.010228,8.090925,8.44162,8.091491,9.151844,9.264862,9.868875,7.945081,9.088734,8.924357,7.712579,8.730683,8.334541,9.837578,8.517081,8.890659,"EFS_L5"
"30","PADLIC",9.14697,8.381342,8.078026,7.524484,6.960088,6.66094,8.574775,7.335162,7.953488,7.855881,7.977773,8.316967,8.683334,9.440243,7.158572,8.589663,8.609128,6.996827,7.991886,7.841014,9.276066,7.849511,8.351417,"EFS_G5"
"31","PADLJN",9.371836,8.444568,8.702768,7.574927,7.138982,6.57097,8.271263,7.811757,7.798452,7.710333,7.983618,8.86595,8.837328,9.388781,7.587558,8.693142,8.527374,6.389947,7.833501,7.586294,8.653118,7.773116,8.419408,"EFS_L5"
"32","PADLKJ",9.078975,8.783119,7.797251,6.890765,6.526136,6.25983,7.937229,8.021094,7.536685,7.976204,8.154178,9.31824,9.010937,9.235748,8.135902,8.301696,8.82065,7.706965,8.113473,8.314551,8.957515,7.784536,8.382888,"EFS_L5"
"33","PADLNM",9.295875,8.350089,7.724115,6.807685,6.261755,6.34116,6.670179,8.436136,8.279222,8.677093,7.439631,9.151319,9.493515,9.236563,8.507385,8.065749,9.081388,7.330822,7.975964,8.979722,8.484602,8.227482,8.586556,"EFS_L5"
"34","PADLPR",8.444855,8.581627,7.452285,7.585195,6.539694,5.84657,7.707612,6.989195,7.862326,7.863781,7.307134,8.395127,8.299823,9.775777,7.759284,8.207594,8.782345,6.879123,7.269024,7.655122,8.814874,7.463004,8.365391,"EFS_L5"
"35","PADLPZ",8.519922,8.346491,8.795371,8.111745,7.211285,7.02813,7.739204,7.861417,7.547524,8.266906,7.712133,8.726673,9.056974,9.244236,8.300444,9.059684,9.28219,6.553163,7.456164,7.761084,9.259705,8.26558,8.398593,"EFS_L5"
"36","PADLTD",8.635257,8.275321,6.594773,7.086845,6.260082,6.2015,8.165353,7.776117,7.625557,7.861906,7.667974,8.910545,8.238311,8.643683,8.047551,8.527864,8.929493,6.274196,7.321197,8.323491,8.372832,7.730699,8.283545,"EFS_L5"
"37","PADMGA",9.844926,8.95132,7.838697,6.73335,6.829448,7.52994,6.070866,7.704422,6.634435,7.87588,8.635237,8.77745,9.028741,9.262152,8.485404,9.006754,8.787076,8.581683,8.829164,8.172287,8.600714,8.197045,8.578502,"EFS_L5"
"38","PADMTD",9.238452,8.989567,7.779173,7.416511,6.057269,6.52837,5.54537,7.510381,7.684641,8.747148,7.643502,9.665363,9.068584,10.160317,8.5605,8.752241,8.880715,7.774121,8.62474,8.285174,7.699383,8.104915,8.895906,"EFS_L5"
"39","PADMVB",8.540513,8.211733,8.277573,7.320342,6.554953,7.16943,7.792175,7.471281,7.63111,6.709647,7.343761,8.524705,8.614319,9.119291,6.764825,7.854515,8.331716,6.191066,7.598885,7.403926,8.398936,7.283171,8.199421,"EFS_L5"
"40","PADMXD",9.18229,8.809082,7.631439,6.964099,6.467505,6.55947,7.694529,8.058401,7.603486,8.897141,8.310664,9.309874,9.204841,9.347675,8.156187,8.465562,9.074833,7.607223,8.187794,8.715502,8.421942,7.95112,8.574125,"EFS_L5"
"41","PADMYD",9.306727,9.236909,7.797097,7.654458,6.645205,6.68414,7.062195,7.483729,7.269824,8.065341,8.208092,8.517934,8.887963,9.8351,7.621192,8.322081,8.604989,7.374353,8.557211,8.189828,8.942335,8.478695,8.187608,"EFS_L5"
"42","PADNFT",9.462702,8.434401,8.303001,7.147991,7.135253,6.29904,7.699701,7.822722,7.865973,8.370405,8.377641,8.731562,8.900504,9.770579,7.497583,8.204652,8.86702,7.203782,8.111513,8.387924,8.865683,8.279005,8.434915,"EFS_L5"
"43","PADNNX",9.316987,8.502014,7.642396,7.301599,6.812575,5.84011,8.312335,7.86468,8.307807,8.158611,8.164091,9.130927,8.933391,9.354923,7.873063,9.397616,8.830296,7.374854,8.188539,8.426758,9.383172,7.948819,8.228714,"EFS_L5"
"44","PADNXC",8.794851,8.892005,8.058731,6.670282,6.626953,6.38301,8.102436,7.815743,7.205022,8.256136,8.140719,9.154691,8.817937,9.376686,8.153887,8.677586,8.894201,7.117316,7.97098,8.439265,8.298165,7.278472,8.18287,"EFS_L5"
"45","PADPCI",9.665419,8.675348,8.807817,7.952643,7.321339,6.28155,8.912841,8.335046,8.367446,8.519356,8.497132,9.360331,9.444054,10.169342,7.458041,8.744799,8.783792,7.533651,8.477449,8.708675,9.805031,7.649863,8.744306,"EFS_L5"
"46","PADPEY",8.507318,8.165735,6.954858,6.717234,6.304971,7.19044,7.658805,7.668847,7.893503,7.347157,7.427453,9.022901,7.902503,8.517125,7.83941,7.783018,8.720938,6.414498,6.51956,7.724336,8.142984,7.16681,8.062002,"EFS_G5"
"47","PADPHP",9.454582,9.265867,8.793464,6.971322,7.038226,6.98242,7.056078,7.500442,7.460267,8.137266,8.340215,8.969003,8.96569,9.830065,8.019507,9.738682,8.619006,7.229705,8.026562,8.308063,9.00675,7.982324,8.381659,"EFS_L5"
"48","PADPMU",9.07365,8.965207,8.518567,7.971258,8.09383,6.85516,8.148881,7.788757,7.821611,7.974661,8.083553,8.774769,8.854999,9.426765,7.931501,8.411241,8.385729,6.952338,7.97644,7.743232,9.252603,8.181215,8.518156,"EFS_L5"
"49","PADPRJ",9.431139,8.55852,9.664451,8.202537,7.479158,6.56568,7.980687,7.766515,7.88818,8.299193,8.184047,8.835839,8.928751,9.861445,7.74865,8.959881,8.790098,7.165341,8.050144,8.3354,8.833017,8.254204,8.599464,"EFS_L5"
"50","PADRYN",7.406239,7.904425,6.185808,6.954965,6.513666,7.58646,6.23209,6.52187,7.458602,7.203951,7.193751,8.220224,7.448038,7.977278,7.15697,7.008784,8.2678,5.642217,5.778883,7.327041,7.341557,5.699965,7.780614,"EFS_L5"
"51","PADSEC",9.497368,8.508428,8.388043,7.989484,6.796243,6.32797,8.65749,7.428656,7.75632,8.714528,8.360214,8.521498,9.625199,9.668146,7.267251,8.621654,8.744091,7.499884,8.714638,8.398512,8.693811,8.070188,8.946401,"EFS_L5"
"52","PADSMF",8.956871,8.512256,8.272331,7.270376,8.037175,6.0714,8.270256,7.849387,7.913276,7.974991,8.072889,8.690713,8.878412,9.310534,7.350386,8.332364,8.445432,6.814748,7.369187,7.996773,8.752383,8.063585,8.254391,"EFS_G5"
"53","PADSXE",9.675424,8.563882,9.545828,7.942027,7.145685,6.76336,8.701805,7.92321,8.090169,8.440712,8.385446,8.253292,9.286784,9.847298,8.02599,8.612043,8.953123,7.60444,8.466623,8.393437,8.509054,8.289981,8.56936,"EFS_G5"
"54","PADSXU",9.090387,9.306398,8.312064,7.257972,7.025012,6.29761,6.986666,8.252471,7.409465,8.293009,8.618624,8.518868,9.244703,9.709991,8.493723,9.233486,9.001204,7.798263,8.542341,8.353349,9.388107,8.191006,8.020853,"EFS_L5"
"55","PADTCU",8.980755,8.232371,8.112229,7.756021,6.99288,7.15518,8.214088,7.412341,7.441806,7.598317,7.532036,8.315215,8.703444,9.006541,7.538927,8.058632,8.240416,6.749511,7.193491,7.339285,7.979348,7.679685,7.899989,"EFS_L5"
"56","PADTJJ",8.597849,8.364097,7.933453,6.321842,6.038129,6.81857,8.307923,7.975837,8.337881,8.072222,7.808574,9.310071,8.652959,9.269134,8.555682,8.22798,9.064311,6.992135,7.535113,8.270311,7.768585,7.912983,8.256168,"EFS_G5"
"57","PADTRV",9.249795,8.471217,7.926005,7.210887,6.2708,7.0087,8.712469,8.185173,8.567365,7.26526,7.49267,9.432209,8.438648,9.054388,8.488451,8.985503,9.313869,6.724633,7.205659,8.167226,8.052745,7.847542,7.775194,"EFS_G5"
"58","PADUKP",7.963138,7.934099,6.588497,7.353489,6.159309,6.60521,5.585031,7.420247,6.72618,7.696869,8.386521,7.841297,8.445777,9.585622,8.190195,8.40561,8.111847,6.866626,7.047827,7.745486,9.953892,7.251324,8.398529,"EFS_L5"
"59","PADUWR",9.581727,9.197813,7.991576,7.715802,5.970239,5.95584,7.9013,8.289843,7.957029,9.008784,8.811261,8.771471,9.741301,9.258208,8.737624,9.476678,9.280611,7.761224,8.763304,8.657495,8.789475,8.174299,8.703984,"EFS_G5"
"60","PADUYJ",8.550957,8.514228,6.081606,7.242025,6.238693,6.35914,7.942152,7.853627,7.605325,8.335114,7.241491,9.063563,8.730343,9.087074,8.006785,8.644463,9.011414,6.541655,7.41395,8.477113,8.271617,7.875915,8.377897,"EFS_L5"
"61","PADVSN",8.733221,7.741175,8.816157,7.726972,7.825762,6.47929,7.533585,7.389294,7.651875,6.472334,7.056956,8.423848,8.539825,8.337834,7.829356,7.339002,8.517423,5.500796,6.836381,7.410848,9.392748,7.124422,8.423484,"EFS_G5"
"62","PADVWW",9.451785,8.528675,7.976271,7.2056,6.955183,6.21976,7.232105,7.839957,8.139943,9.087301,8.330497,8.656542,8.744506,9.854885,7.698509,9.314224,8.848487,7.134136,8.609493,8.557989,8.961995,8.547745,8.795716,"EFS_G5"
"63","PADWEN",9.222669,8.716814,5.998181,6.540932,6.175471,7.58867,5.310427,7.536958,8.023232,8.068163,8.004359,9.226789,8.635085,8.924183,8.780451,8.339718,9.308577,6.730005,7.289742,8.6205,7.561134,8.237641,8.49534,"EFS_L5"
"64","PADWIM",9.403553,8.815441,7.611958,7.262195,6.771034,6.73967,8.481724,7.326352,7.418311,7.870178,8.242574,8.127599,8.878287,9.185241,7.397535,8.93276,8.730006,7.015619,8.072055,8.349641,8.699706,7.989289,8.60939,"EFS_L5"
"65","PADWSM",9.564889,8.947277,9.134838,7.62303,7.89669,6.30219,8.073811,8.095591,7.642622,8.516574,8.505796,9.063815,10.134316,9.93307,8.303671,9.565572,9.142577,7.377679,8.454498,8.523877,9.140429,8.253152,9.090697,"EFS_G5"
"66","PADWVR",9.713835,8.481656,8.291908,7.378635,7.105178,6.91674,7.745516,7.128132,7.36915,7.657975,7.885218,8.204246,8.541207,10.154188,7.448525,9.046068,8.729107,7.399004,7.760649,8.349432,9.067822,7.678106,8.163262,"EFS_G5"
"67","PADXAS",9.322225,8.425828,8.850472,7.750491,7.207285,6.23747,8.29003,7.743372,8.045309,7.883592,8.400657,8.944274,8.742729,9.704755,7.431817,8.714195,8.952515,7.262358,7.835337,7.904173,8.099915,8.017854,8.221836,"EFS_G5"
"68","PADXBB",8.579809,8.007681,7.558063,6.898839,6.721934,6.56791,5.8925,6.87779,6.302905,6.541148,7.459692,7.462424,8.045975,7.854367,6.78649,7.76581,8.089356,6.576587,6.769814,6.498974,8.648001,6.517647,7.858312,"EFS_L5"
"69","PAIDJS",9.099817,8.981674,7.625439,7.847287,6.775911,6.64329,8.767458,7.532874,7.699654,8.112483,7.674152,9.08997,9.054107,9.399267,8.058639,9.935598,8.789021,7.026205,7.795951,8.291484,8.801699,7.77201,8.298518,"EFS_G5"
"70","PAIEIF",9.82421,9.118155,7.687676,7.819371,6.377044,6.16645,8.808414,7.871375,7.327837,8.280273,8.587451,8.47485,9.165394,9.599124,8.120144,9.920556,8.716763,7.565865,8.31284,8.84893,8.694699,8.881834,8.864851,"EFS_L5"
"71","PAILZJ",9.742716,8.600388,8.520021,7.335687,7.178966,6.81557,7.074811,7.241936,7.516079,8.423488,8.584679,8.849315,9.168074,9.715446,7.508063,9.480736,8.853558,7.460702,9.11394,7.879471,8.551042,7.862596,8.368439,"EFS_L5"
"72","PAIMDS",9.37208,8.817962,8.561486,8.050662,7.140877,6.84506,8.185225,8.015866,8.323862,8.215453,8.420471,8.426959,9.461179,9.238957,7.867178,9.458092,9.781172,7.77547,8.331284,8.672032,8.733986,8.114482,9.060375,"EFS_L5"
"73","PAIPGU",9.167172,8.188004,8.743529,7.880626,7.378561,6.60814,9.219617,7.284871,7.790374,8.539153,7.937038,8.750482,8.916868,9.107555,7.579012,8.317201,8.477472,7.124007,8.304599,8.235628,9.077029,7.829645,8.630895,"EFS_L5"
"74","PAIPUD",9.488483,8.553719,8.267731,7.603355,7.804582,7.40177,7.867016,8.089326,8.762442,8.26978,7.896661,9.337332,8.88762,9.53687,7.866815,9.45007,9.00145,7.553934,8.055386,8.471781,8.412349,8.131373,8.476173,"EFS_G5"
"75","PAIRDP",9.108469,8.063911,7.411594,6.488802,6.73532,6.44903,7.857194,7.458219,7.668346,8.061591,7.631779,9.017679,8.595618,8.953971,7.9267,8.39992,8.897739,6.852352,7.587579,8.271096,8.540236,7.818732,8.398159,"EFS_L5"
"76","PAIRIK",8.953384,8.543933,8.146993,7.476818,7.243984,6.84274,8.328957,7.637206,8.389557,7.725074,7.970272,9.138598,8.570958,9.265092,8.198967,8.968163,8.559756,6.541134,7.161094,7.854242,8.623469,7.603364,8.245057,"EFS_G5"
"77","PAIRLN",9.485794,8.200141,8.143199,7.23481,7.4503,6.56119,7.802161,7.712167,7.808909,7.923844,8.094506,9.068697,8.592459,9.424066,7.391741,8.455116,8.906352,7.116905,8.352117,7.890126,8.42592,7.670772,8.486449,"EFS_G5"
"78","PAISNS",8.699122,8.445257,7.720304,7.022525,7.74486,6.95145,7.232071,7.38488,8.450925,8.50096,7.834233,9.00822,9.157727,9.01345,7.695427,8.820988,8.87628,6.229289,7.38334,7.822951,8.932082,8.024178,8.349968,"EFS_L5"
"79","PAITCI",8.966586,8.865207,7.941417,8.176,6.862901,6.77996,6.303144,7.753199,7.395071,8.143937,7.752936,9.074977,8.687386,9.890776,7.10581,9.090919,8.555687,6.577057,7.888256,7.621592,9.154555,7.31317,8.479449,"EFS_L5"
"80","PAITEG",9.925513,8.532857,6.874143,6.432489,6.535024,6.32018,7.784471,7.550297,7.362311,7.831648,8.886988,8.26962,8.772533,9.322874,7.760144,8.627856,8.335087,7.951584,8.832403,7.724276,8.631818,7.35776,9.012355,"EFS_L5"
"81","PAITRM",9.357307,8.350996,8.090629,7.834735,6.888445,6.65161,8.071323,7.55093,8.372911,8.105128,7.920429,8.783887,8.948843,9.39915,7.685459,8.069729,9.004905,7.091251,8.142014,8.155603,8.047445,7.194442,8.201775,"EFS_G5"
"82","PAITZV",8.972367,8.391263,7.314838,7.57266,7.288217,6.89364,8.416387,7.487903,8.020676,7.909945,7.992853,9.057749,8.070783,9.792128,7.900366,7.388728,8.848951,6.807297,7.827073,7.301967,8.828248,7.762118,8.634087,"EFS_G5"
