"","Row.names","CDC42","CRK","EFNB2","EFNB3","EPHB3","GRB7","GRIA1","ITSN1","KALRN","KRAS","MAP2K1","MAP4K4","MAPK1","NRAS","PAK1","PIK3R1","PTK2","RAP1A","RAP1B","RASA1","SHC1","SYNJ1","WASL","EFS_fct"
"166","PAMNLH",8.969719,8.091939,8.457377,7.38378,8.335777,6.86162,7.145829,7.698945,8.020545,7.448228,7.82206,9.000444,8.398342,9.11146,7.145936,8.697019,8.38378,6.700902,7.693688,7.968615,9.092798,7.630813,8.418031,"EFS_L5"
"167","PAMVCL",9.10706,8.992738,8.901128,7.966731,6.921545,6.673,7.807725,7.645971,7.957528,8.016813,8.04769,8.702785,8.85995,9.644376,8.49708,8.846816,9.067037,7.279745,7.882547,8.134186,9.325186,8.259671,8.514932,"EFS_G5"
"168","PAMXWF",9.37495,8.242158,9.026925,7.316733,7.49145,7.00077,8.963056,8.034329,8.66105,8.014023,7.955522,9.385149,8.810867,9.585724,7.829005,8.389998,9.13716,6.926159,7.592747,8.051568,8.85382,8.15814,8.570777,"EFS_L5"
"169","PAMYCE",8.78415,8.097021,7.351937,7.738091,7.835389,6.84986,7.130002,7.568217,8.132998,7.280183,7.806946,8.682505,8.296649,9.045036,7.175525,7.948453,8.906893,6.430601,7.465603,7.177043,8.710341,7.864384,7.938679,"EFS_L5"
"170","PAMYVA",8.64138,8.376562,8.450705,7.63708,6.973227,6.77885,7.821296,7.660788,7.956724,7.436263,7.530673,8.873008,8.567343,9.367111,7.021178,9.130078,8.589737,6.48433,7.248028,7.728318,8.433762,7.629898,8.439023,"EFS_G5"
"171","PAMZCE",7.663235,8.444533,6.797385,6.81768,6.434839,6.82356,7.99175,7.107553,7.185939,7.151503,7.608074,8.905678,7.974736,8.07977,7.903434,7.491698,8.14063,5.946981,6.044424,7.48737,8.214029,6.950132,7.812148,"EFS_G5"
"172","PAMZMG",8.19666,8.328569,6.380289,6.652086,6.7066,7.18534,8.935028,7.833175,7.787522,7.829403,7.435403,8.836928,8.09232,8.738748,7.853344,7.7483,8.857655,6.254443,6.808075,7.505062,7.726833,7.366756,7.972069,"EFS_L5"
"173","PAMZYM",9.384072,8.283411,9.182928,7.645171,7.046191,6.87097,9.392168,7.369236,8.25359,7.951902,7.946236,9.294655,8.937912,9.536933,7.714412,7.854136,8.768536,7.391261,8.416407,8.55678,8.281815,8.096651,8.209056,"EFS_G5"
"174","PANBJH",8.957353,8.70574,8.517389,7.447035,7.389043,6.78694,9.021142,7.772296,8.202592,7.661206,7.658812,8.92014,8.430956,9.260149,7.459552,7.608693,8.561112,6.304204,6.925952,8.229495,8.492548,7.921891,8.300826,"EFS_L5"
"175","PANBMJ",9.217995,8.228949,7.314182,7.155996,6.496528,6.45075,7.244125,7.598644,7.290759,7.367237,8.195807,8.151945,8.727338,8.596065,7.619092,9.046306,8.199712,7.37575,8.001657,8.121402,8.214103,7.728329,8.606556,"EFS_L5"
"176","PANBSP",8.929303,8.945101,8.880263,7.740733,5.993688,6.64838,7.82053,8.063047,7.622023,8.555125,8.504705,8.739938,9.159376,10.012512,8.352166,7.541348,9.198249,7.409348,8.196687,8.991045,9.973214,7.885379,8.493239,"EFS_L5"
"177","PANCYF",8.917044,8.699337,6.943952,7.110711,6.336422,6.57474,6.563064,7.729323,7.774344,8.08356,7.923038,8.989712,8.699232,8.796706,8.10352,8.359108,8.737068,7.335712,8.204514,8.504506,8.305352,7.527017,8.127598,"EFS_L5"
"178","PANDHZ",9.205298,8.423252,7.988113,6.850597,7.233671,6.35241,7.159673,6.979557,7.178352,7.550974,7.847082,8.330933,8.275813,9.229471,7.187219,7.597675,8.496575,6.84444,8.003994,7.404414,8.918039,7.119473,8.085517,"EFS_L5"
"179","PANGTS",9.207297,8.363936,9.524776,7.600386,7.15341,6.78227,8.424302,8.36256,8.325089,7.991079,7.587386,9.401832,8.416774,9.813184,7.258685,7.953349,8.697755,6.954126,7.698381,8.510751,8.723762,8.494304,8.526667,"EFS_G5"
"180","PANHUA",8.918001,8.39713,8.027268,7.626031,7.586378,6.92285,7.161521,7.48729,7.746257,7.406946,7.657152,8.505483,8.484845,9.286238,7.252265,8.53579,8.616035,6.908966,7.501674,7.814047,8.23044,7.648215,8.246139,"EFS_L5"
"181","PANLSG",8.60744,8.631287,8.510217,7.039616,6.675507,6.83172,5.368771,7.458257,6.989502,7.380105,7.587482,8.366583,8.468588,9.071846,7.175192,8.79365,9.046578,6.44956,6.66077,7.887475,8.606833,7.540729,8.38912,"EFS_L5"
"182","PANNIJ",8.767119,8.426952,8.270837,6.930705,6.832935,6.54388,5.038779,7.535343,7.143775,7.608659,8.239973,9.051295,8.590026,9.460506,8.045376,7.952057,8.613548,6.564561,7.817438,8.020846,8.968796,7.668703,8.327156,"EFS_L5"
"183","PANRRW",9.281871,8.212304,8.296456,7.565839,7.951421,7.56112,8.285954,7.938431,7.741605,7.717126,8.120806,9.146841,8.86101,9.707434,7.778647,9.211593,8.811891,7.414502,8.18052,8.54354,8.959198,8.329754,8.428565,"EFS_L5"
"184","PANUKV",8.675546,8.693514,7.283971,7.062034,6.086853,6.70623,5.938499,7.898208,7.029493,8.419831,7.945324,9.436692,8.734508,9.38772,8.630596,8.634314,9.110085,6.520099,7.425562,8.449315,8.159952,7.678687,8.438276,"EFS_L5"
"185","PANUVK",9.620956,8.946154,8.214229,7.079216,7.200364,6.51178,6.376886,7.638921,7.659666,8.915572,8.793479,9.030324,9.458803,9.869409,8.238571,8.986488,9.270249,7.857872,9.315799,7.861075,9.60907,7.781051,8.583649,"EFS_G5"
"186","PANVAN",9.178452,8.456887,7.843925,6.586985,6.880958,6.89379,5.137366,7.238331,7.377554,7.688343,8.105516,8.140798,8.317097,9.239144,6.919526,7.847111,7.98493,7.165384,8.144087,7.782772,8.933745,7.213478,7.998059,"EFS_L5"
"187","PANYGR",9.020787,8.987624,8.253698,7.590415,8.072937,6.19241,6.859182,7.541982,7.742784,8.248934,8.031851,8.688387,8.766127,9.632216,7.416084,8.031693,8.644019,6.730815,7.943478,8.071245,8.487367,8.301711,8.245586,"EFS_L5"
"188","PANZHT",9.184849,8.493496,8.407492,7.496121,7.204133,7.09901,8.257849,7.55422,7.899859,7.945576,7.654419,8.610355,8.905015,9.436774,7.750822,7.859342,8.595922,7.270196,7.882276,7.621626,8.418588,7.955632,8.522845,"EFS_G5"
"189","PANZPV",9.358485,8.654603,8.367865,7.078663,6.319824,6.27048,8.457104,7.908298,8.362562,8.461923,7.961433,8.859086,9.221973,9.405673,7.450411,8.531814,8.930146,7.560856,8.175589,8.575129,8.371411,8.078204,7.941154,"EFS_L5"
"190","PAPAKS",8.08321,8.455058,7.022517,7.283749,6.724326,7.15292,5.693046,6.171138,7.55163,6.865886,7.239338,7.831564,7.867188,8.457069,6.708269,7.340639,7.478309,6.108064,5.955956,7.135754,8.601642,6.115808,8.05047,"EFS_G5"
"191","PAPBGH",8.973715,8.969988,7.871999,7.646354,6.210846,6.47329,8.570945,7.975286,7.863545,8.345794,8.280099,9.196194,8.922072,9.224234,8.14388,8.147961,8.638155,6.88555,7.887307,8.628272,9.125332,7.8425,8.351075,"EFS_L5"
"192","PAPBZI",8.903719,9.191339,8.385159,6.882525,6.50918,6.80395,6.815527,7.945333,7.668739,8.843831,8.070048,8.81584,8.754427,10.393056,7.197476,7.889284,9.038181,7.747965,8.004037,8.385619,9.380093,7.593693,8.050598,"EFS_L5"
"193","PAPEFE",9.027896,8.41743,7.880939,6.578909,6.675382,7.0376,5.167925,7.160747,6.89534,7.532946,8.035592,8.930448,8.438972,9.648558,7.592911,8.157029,8.312919,7.393802,7.840055,8.366501,9.377371,7.351658,8.31657,"EFS_L5"
"194","PAPEJW",8.511368,8.332093,7.736993,7.094382,6.510691,6.30864,7.561054,7.591751,7.32055,7.446444,7.735275,9.040435,8.392786,9.442616,7.798301,8.672362,8.678891,6.702842,7.13236,7.960323,8.697209,7.383539,7.91487,"EFS_L5"
"195","PAPHPE",8.850434,8.391059,7.391348,8.289549,6.327088,7.07102,7.330719,7.334755,7.202245,8.245252,8.336576,7.633465,8.915964,9.248863,8.136001,9.0203,8.453471,6.843296,7.114569,7.339947,7.980864,8.001166,8.354707,"EFS_L5"
"196","PAPJLD",9.315782,8.712982,8.195962,7.507839,6.397316,6.90453,7.31681,7.815107,6.91652,8.122699,9.065068,7.868767,9.104297,9.059318,8.173642,9.182684,8.493305,7.780896,7.93114,8.182699,8.615332,8.323639,8.515626,"EFS_G5"
"197","PAPKWN",9.444231,9.041193,9.096447,6.989871,6.713555,6.64325,4.600775,7.473443,7.647484,8.058692,8.407979,8.933952,9.103123,9.672434,7.97036,8.113961,9.225619,7.428711,8.372385,8.534531,9.36662,7.607197,8.48101,"EFS_L5"
"198","PAPRTD",9.667203,9.076998,7.734943,6.664948,6.751186,6.3999,7.570498,8.333329,7.047941,8.837396,8.961817,8.35865,9.786222,9.167202,8.810072,9.200806,9.109111,8.434526,8.742949,8.597065,8.679919,8.589693,8.481647,"EFS_L5"
"199","PAPSEI",8.672964,8.540102,7.492116,6.725961,6.291238,6.83889,8.603674,8.237032,7.893793,8.092033,7.679607,8.962927,8.821918,8.802945,7.778986,8.210031,8.955854,6.789862,7.823309,8.539703,8.473648,7.63451,8.215381,"EFS_L5"
"200","PAPSKM",9.283332,8.310414,8.091192,7.076362,6.904068,6.75,7.476545,7.517525,7.421946,7.966028,8.008875,8.82341,8.878653,9.31603,8.088569,8.414753,8.846314,7.35758,8.296687,7.791425,8.768958,7.894841,8.359525,"EFS_L5"
"201","PAPTIP",8.746073,8.523417,8.105712,6.96277,6.155006,6.82476,6.566281,7.672844,7.853386,8.607076,7.927943,8.864685,8.850943,9.306925,7.964819,8.476222,8.985957,7.070335,7.890441,8.657194,9.07076,7.822492,8.490806,"EFS_L5"
"202","PAPTLD",8.525711,8.172221,7.88915,7.571356,6.58244,6.97848,7.148331,7.306101,6.965562,7.235612,7.772394,8.502385,8.555784,9.147376,8.253289,7.784308,8.551141,6.144162,7.002214,7.391204,9.151087,7.236132,8.316329,"EFS_L5"
"203","PAPTLY",8.529741,8.596178,7.841988,7.051169,6.458896,7.13957,7.809945,7.564507,7.542222,7.764459,7.745916,8.674065,8.283969,9.075737,7.484906,8.014061,8.507356,7.168773,7.513488,8.511273,8.052856,7.324224,8.100057,"EFS_G5"
"204","PAPTMM",8.99457,8.90055,9.067949,6.834019,6.718544,6.49514,4.69591,7.638726,7.321726,8.705851,8.441366,8.806418,9.516889,10.026908,8.399757,7.777336,9.284494,7.237765,8.545952,8.794901,9.354296,7.739246,8.278472,"EFS_G5"
"205","PAPUAR",9.292141,8.535379,8.14246,7.128204,6.921475,7.14973,9.14405,7.759875,7.810638,8.309431,7.909081,8.854255,8.784657,9.900613,7.45392,8.310386,8.616394,7.562834,8.105701,8.471551,8.243026,8.174691,8.390998,"EFS_G5"
"206","PAPUEB",9.551351,8.474357,7.203616,6.558809,6.352969,6.59848,8.569613,7.768467,7.987152,8.489782,7.796311,8.709796,8.72565,10.002707,7.837772,7.879397,8.563432,8.063663,8.347357,8.504259,7.746485,7.82038,8.384876,"EFS_G5"
"207","PAPUNH",8.917052,8.824862,7.756554,6.793757,6.213691,6.87463,8.513332,8.161862,6.938799,8.717407,6.88368,9.352245,8.858454,9.515014,7.673152,8.859906,9.110393,7.500629,7.666845,8.124231,8.105155,8.04781,8.404187,"EFS_G5"
"208","PAPUTN",8.604755,8.142329,6.893051,6.377376,6.754599,6.82502,5.95884,7.819321,7.417062,7.647723,7.711112,9.504715,8.580062,9.260447,8.048294,8.351143,8.75502,6.694967,7.294244,8.074963,7.667472,7.677412,7.933687,"EFS_L5"
"209","PAPWUC",9.727969,8.556348,8.287997,5.875342,6.278684,6.41565,5.527425,7.88244,7.446306,8.424409,8.265232,8.640073,9.593147,9.508786,7.660635,8.520714,8.737285,8.474991,9.455476,8.755668,9.18982,8.136916,8.307397,"EFS_G5"
"210","PAPZYP",9.154497,8.902493,7.968601,6.535635,6.794984,6.33829,8.183306,8.10677,7.844869,8.615574,8.057961,9.254638,8.749227,9.761521,8.659682,8.39715,9.131076,7.704851,8.432172,8.666345,7.940494,7.911389,8.245984,"EFS_G5"
"211","PARABN",8.343068,8.31522,7.229517,6.545504,6.693422,7.02322,6.974797,7.440981,7.300069,7.528736,7.283245,8.642971,8.37872,8.337128,7.497708,7.485332,8.51129,6.456275,7.445673,7.696167,8.665074,7.480982,8.185503,"EFS_L5"
"212","PARACM",9.538148,8.618565,8.621049,6.960416,6.818488,6.51433,7.957747,7.592238,7.827503,8.513359,8.126771,8.784154,9.055569,9.700862,7.739818,8.883873,8.837,8.138343,8.368473,8.701946,7.920409,8.091,8.640152,"EFS_G5"
"213","PARAHE",9.10321,8.984954,8.713283,7.031595,7.779077,6.51391,6.133677,8.19785,7.843302,8.574194,8.175397,8.578262,9.587604,9.539494,8.168954,9.27539,9.181713,7.798053,9.180428,8.662999,9.390352,8.032226,8.879899,"EFS_L5"
"214","PARCWT",9.721821,9.022875,8.988542,7.972193,7.351656,6.13023,8.713633,8.167242,7.890935,9.031637,8.173209,8.69174,9.738617,9.802859,7.458378,9.067347,9.530671,7.790188,8.650054,8.72687,8.792404,8.257356,8.546581,"EFS_L5"
"215","PARDUJ",9.24941,8.373184,7.934106,7.393956,7.032583,6.75363,7.772409,7.657838,8.008959,7.504293,8.123269,8.7576,8.920676,9.361909,7.375323,8.287157,8.772947,7.107942,7.561281,7.65199,8.982254,7.853288,8.502806,"EFS_L5"
"216","PAREGK",9.077919,8.739884,7.705295,6.848781,6.625343,6.92291,5.240546,7.531918,7.683162,7.826547,8.132106,8.333464,9.09283,9.011149,7.413265,8.890647,9.137388,7.171345,8.309226,7.837089,8.901576,7.239174,8.561885,"EFS_G5"
"217","PARFBW",8.541621,8.566094,7.620682,7.300572,6.671039,7.35964,8.181331,7.484188,7.757619,7.587047,8.525544,7.783583,8.920889,8.551548,8.511595,7.616287,8.371221,7.140284,6.896653,7.425593,8.372768,7.386227,8.518714,"EFS_G5"
"218","PARGDJ",8.90942,8.868624,8.716749,7.799579,6.884339,6.51715,7.952206,7.843292,7.667771,8.5745,8.724312,8.418632,9.553993,9.348485,9.176502,8.169486,9.117814,7.586092,8.239812,8.159509,8.684058,8.488966,8.655004,"EFS_L5"
"219","PARGUX",9.256755,8.848291,8.471436,7.772458,7.275214,6.9168,8.122437,7.72948,8.073875,8.190655,8.253131,8.478889,9.052819,9.458833,7.484659,8.820194,8.596047,7.184793,7.805473,8.583667,8.850595,8.287555,8.947597,"EFS_G5"
"220","PARHYL",9.436875,9.285514,9.086397,7.152827,6.994831,6.40898,4.522384,7.57851,8.047829,8.574124,8.192874,9.0349,9.517658,9.670861,8.146021,8.363784,9.223634,7.551482,8.833174,8.494456,9.217426,7.739037,8.743284,"EFS_G5"
"221","PARIKF",8.619607,8.358908,7.534845,6.929665,6.245043,6.70149,8.325322,7.693914,8.183601,7.934111,7.486947,9.050984,8.329738,9.031251,8.195754,7.716186,8.978452,6.728334,7.474701,8.617169,8.661083,7.327111,8.267293,"EFS_G5"
"222","PARIKT",9.221247,8.549226,7.545441,7.545806,6.331241,7.51319,8.141182,7.760936,7.19466,7.676866,8.952428,7.735908,9.120764,8.986264,7.780303,8.45253,8.314592,7.253411,7.787894,7.50961,8.740025,8.718119,8.749791,"EFS_L5"
"223","PARIRD",8.190155,7.882062,7.157098,6.672527,6.834555,7.58883,7.721554,7.098972,7.186383,7.377297,7.523461,8.266161,8.204653,8.574813,7.782329,6.61921,8.173618,6.3189,6.647564,7.223849,7.715317,6.8028,7.98371,"EFS_L5"
"224","PARJAR",9.696816,8.519333,7.684911,7.613426,7.446369,6.76745,7.67484,7.705725,8.061115,8.582201,8.343715,8.672274,9.03505,9.719822,7.558379,8.829286,8.922189,7.586347,8.564573,8.021401,9.145806,8.036748,9.031764,"EFS_L5"
"225","PARJTB",8.767756,8.879205,7.394142,6.992651,6.141506,6.38252,5.14401,7.844314,7.169073,8.390822,7.686764,9.15554,8.842319,9.435395,7.490745,7.921008,8.93903,7.028311,7.897545,8.492759,7.882319,7.640128,8.46964,"EFS_L5"
"226","PARMFA",9.7264,9.224588,7.878561,7.142854,6.640041,6.44134,8.031187,8.275491,7.442365,8.626601,8.750903,8.393231,9.782213,9.692431,8.335387,8.937733,9.22643,8.361401,8.896851,8.681867,8.590218,8.399062,8.952347,"EFS_G5"
"227","PARMTT",8.772761,8.642098,8.281363,7.377137,8.08127,6.49038,7.521224,7.770875,7.578675,8.442689,7.508735,8.267532,9.063728,9.317889,8.460729,8.422781,8.721584,6.439178,7.849184,8.026311,8.889911,8.378349,8.351894,"EFS_L5"
"228","PARNCW",8.568249,8.680607,6.898328,7.308055,7.391104,6.15629,6.726362,7.724123,7.198517,8.46215,8.109022,8.695457,8.60444,9.564564,7.972939,7.831625,8.835714,6.742562,8.49283,8.587098,9.151175,7.492727,8.461734,"EFS_L5"
"229","PARNEE",8.196652,8.508584,7.160438,7.528118,6.504426,6.74313,6.698194,7.756167,7.538905,8.19285,7.702248,8.728063,9.13441,8.916526,8.022752,8.47875,9.002954,6.455698,7.62768,7.718525,9.008363,7.34701,8.087608,"EFS_L5"
"230","PARRBU",8.992483,8.689391,7.69349,6.917651,6.304962,6.49984,8.014474,7.6531,7.551617,8.108563,8.052018,9.341298,8.920291,9.689975,7.979605,7.605679,9.05772,7.200696,7.898062,8.547478,8.545347,7.470262,8.870907,"EFS_L5"
"231","PARSEA",8.847928,8.252635,7.798673,7.201325,7.674679,7.44694,7.587719,7.378468,7.532328,7.629336,7.737121,8.202521,8.605954,9.126817,7.306725,8.238922,8.390431,6.601335,7.102253,6.932349,8.430064,7.65447,8.360091,"EFS_G5"
"232","PARSHT",8.219706,8.377807,7.974887,6.563111,6.764802,6.72574,8.26045,7.114831,7.261099,7.767739,7.770439,8.551031,8.79243,9.04514,8.117291,8.137465,9.115614,6.884393,7.30278,7.921032,9.269232,7.598912,8.546598,"EFS_G5"
"233","PARUXY",8.788437,8.481561,7.71851,8.016667,6.642864,6.42399,7.172289,7.792582,7.697978,7.509853,8.969769,7.987535,8.894816,8.449514,7.790565,8.900939,9.034667,6.951837,7.354322,7.807617,9.231551,8.309283,8.828029,"EFS_G5"
"234","PARVME",9.173527,8.570731,8.430015,7.502418,8.030421,6.48765,6.284817,7.793837,8.22182,7.895393,8.016813,8.899042,9.016436,9.285271,7.671457,7.596557,9.390312,6.88967,8.00652,8.18155,8.533086,7.888958,8.662897,"EFS_L5"
"235","PARVRR",8.782316,8.866454,7.670403,6.767984,6.347106,5.97875,8.598899,8.005365,7.79708,7.799032,7.910996,8.791584,8.826566,8.850587,7.879123,8.359802,9.172568,7.09821,7.873456,8.269979,8.698951,7.640431,8.363645,"EFS_L5"
"236","PARXLM",8.448405,8.635056,8.538356,6.618069,6.546761,7.21532,8.042051,7.734587,7.44916,7.726197,7.703432,8.299885,8.752751,9.148665,7.897713,8.082294,8.292107,6.621791,7.319694,7.55542,9.086536,7.206698,8.399886,"EFS_L5"
"237","PASATK",8.610877,8.528984,8.257433,6.889012,7.250692,6.51264,8.012939,7.651943,7.535962,7.722986,7.583033,8.332575,8.822305,9.341958,7.581175,7.783197,8.746693,6.651725,7.222936,7.661755,8.339126,7.900049,8.565607,"EFS_L5"
"238","PASAZJ",9.221981,8.610971,8.957128,6.822607,6.445203,6.49367,8.260031,7.730459,7.4688,8.599597,7.792528,8.80379,8.960432,9.539983,8.269271,7.526154,8.43582,7.413557,8.47253,8.678442,8.398359,7.805638,8.232296,"EFS_G5"
"239","PASBEN",9.153218,8.545472,9.290281,7.354216,6.521173,6.63243,8.702473,7.631297,7.895794,8.179669,8.485148,8.659323,8.854606,9.057324,7.560887,7.622051,8.924617,7.184529,8.417927,8.009299,8.405947,8.057527,8.240786,"EFS_L5"
"240","PASCKI",9.334752,8.801494,8.466295,6.78454,7.627232,6.65797,7.647976,7.69928,8.075005,8.52633,8.281036,8.735689,9.27,9.71364,7.871101,8.86581,8.959422,7.752941,8.771174,8.490531,9.033229,8.14254,8.242468,"EFS_G5"
"241","PASCLP",8.8504,8.598312,7.892474,6.825556,5.920446,6.39061,8.949039,7.972124,8.024522,8.585309,7.745347,9.223175,8.879773,9.410611,8.467259,8.454389,9.243567,7.198949,7.762011,9.171705,7.527229,8.356172,8.252404,"EFS_L5"
"242","PASCUF",9.561688,8.560612,7.381967,7.663758,6.231611,6.92988,8.348939,7.82684,9.166263,8.478821,7.687542,9.083374,9.24609,9.875535,7.533861,9.404636,9.200696,7.422789,7.744196,8.525496,8.23916,7.80109,8.424284,"EFS_L5"
"243","PASDZJ",9.442151,8.407728,6.972544,6.026326,6.265551,6.25302,5.91127,7.303303,6.811661,7.962291,7.900175,8.484321,8.724469,9.255987,7.698098,8.317787,8.119881,8.055915,8.871801,8.346848,8.434465,7.668843,7.882416,"EFS_L5"
"244","PASFRV",9.507525,8.683897,8.593757,7.001906,7.554452,6.44622,7.354266,7.794723,8.196466,8.452607,7.607625,8.920499,9.086194,9.719811,7.744387,9.014005,8.84466,7.924342,8.459097,8.707269,8.733423,8.108094,8.462246,"EFS_L5"
"245","PASGPY",9.131123,8.97193,6.624394,6.189949,6.435866,6.75225,6.27914,7.87381,8.083618,8.13889,7.942175,9.57966,8.607679,9.83094,8.835825,8.620423,8.998446,7.28261,8.051912,8.369583,9.342026,8.55362,8.82349,"EFS_L5"
"246","PASJRT",8.380389,8.54367,7.564039,6.971845,6.306116,6.45055,8.29385,7.886391,8.021035,7.642705,7.617529,9.277202,8.179669,8.927461,8.077985,8.184606,8.997163,6.789194,7.233288,8.46218,8.09421,7.437527,8.274083,"EFS_L5"
"247","PASJYB",8.523424,8.530712,7.011099,6.724035,6.230344,6.25387,7.978803,8.062213,7.747981,8.233377,7.112206,8.840364,8.483944,9.068351,8.204739,8.543362,8.970708,7.23521,7.462654,8.59927,8.732073,7.812013,8.490333,"EFS_L5"
"248","PASKJX",8.645588,8.671716,7.599841,7.886789,6.955444,6.58939,8.516706,7.833825,8.199982,8.071191,7.948852,8.685442,8.927681,9.520819,7.221649,9.119901,8.589066,7.206878,7.577711,8.460103,8.41766,8.381164,8.899249,"EFS_L5"
"249","PASLGS",9.697877,8.251157,8.416036,6.730392,6.551807,5.85286,7.093545,7.899142,7.812272,8.535342,7.890287,9.800915,9.86637,9.952161,9.018474,8.805781,9.009105,7.650101,8.809545,8.514648,9.221471,8.462779,8.834457,"EFS_L5"
