"","Row.names","ADCYAP1","ASAH1","BRAF","CREB1","CREB5","FRS2","MAP2K4","MAPK1","MAPK10","MAPK8","MAPK9","NTRK1","PIK3CD","PIK3R1","SHC1","TH","TUBA1A","EFS_fct"
"126","PALLJJ",10.100149,9.243244,8.560838,8.429557,6.831742,6.686452,9.019886,9.451991,7.430427,7.130236,8.800329,8.195668,6.973059,8.176102,9.606273,10.750482,12.08075,"EFS_G5"
"127","PALNFE",8.044267,8.830986,8.771118,8.485446,8.677512,6.995433,8.467863,8.867446,7.498416,8.478078,8.497955,9.342231,7.041521,9.270299,8.96558,9.526456,11.961913,"EFS_G5"
"128","PALNHZ",4.841901,8.27658,8.862217,8.516562,8.113802,6.670886,7.34188,8.863132,7.109991,8.299778,7.825574,6.815413,6.747061,7.260221,7.868703,7.030848,11.746157,"EFS_L5"
"129","PALNVP",5.091959,8.548805,8.621152,8.732515,9.040453,7.296182,8.916611,9.360111,7.653138,8.398574,8.577779,8.5638,6.979933,10.042348,9.103757,10.483752,12.336482,"EFS_G5"
"130","PALPIN",6.572765,8.820979,8.355471,8.657542,8.116224,6.958696,8.157944,8.437398,6.629639,8.070491,7.994005,9.750484,7.245337,9.682768,9.028118,9.400903,11.901166,"EFS_G5"
"131","PALPSY",7.189393,8.659996,8.825605,9.032745,8.163558,7.397225,8.73664,9.243101,6.990927,8.647134,8.120573,9.359552,6.962906,9.64678,9.262199,9.983274,11.801829,"EFS_G5"
"132","PALSAE",5.464273,8.030024,8.891002,8.598394,7.755017,6.418654,7.55937,8.64078,6.028757,7.779021,7.938011,8.469936,6.596178,9.403342,8.852655,9.557298,11.381112,"EFS_L5"
"133","PALTYB",11.478481,9.801147,8.853276,8.647514,7.245316,7.263509,9.006392,9.828545,7.803134,8.050726,9.410171,9.624812,7.353197,9.143133,8.078073,10.015158,12.309703,"EFS_L5"
"134","PALUDH",6.502751,8.584558,8.621539,8.677995,6.946974,7.103733,8.446898,9.012628,7.215751,8.011474,7.967104,8.913298,6.965586,9.281257,9.237019,10.274518,12.464809,"EFS_G5"
"135","PALUYS",8.058665,8.80241,8.478347,8.656582,6.590337,6.926593,7.742467,8.377554,6.59897,8.332951,8.305235,8.05549,6.861681,8.619118,8.514752,9.791372,11.908682,"EFS_L5"
"136","PALVKK",6.626338,9.154757,8.220077,8.349909,7.242603,6.90551,8.143016,9.18009,6.98948,7.609645,8.094834,8.737872,7.105351,9.191638,9.063774,9.447184,11.742466,"EFS_L5"
"137","PALVUC",6.317149,8.592417,8.705131,8.640101,8.02726,6.905243,8.118769,8.913201,6.723326,7.807934,7.542409,9.496079,7.092492,8.675864,9.20366,9.385336,11.937653,"EFS_G5"
"138","PALVVH",8.559676,8.905905,9.030846,9.022759,8.151438,7.232177,8.352557,9.283824,6.981197,8.602955,8.250785,8.270309,6.476776,9.340315,8.750524,9.178315,12.162975,"EFS_G5"
"139","PALWBT",9.953669,9.173911,8.163053,7.934313,7.376405,6.524939,8.047944,8.998275,7.095449,7.374461,8.381605,8.706226,6.93899,7.928836,9.318842,10.194292,11.873183,"EFS_G5"
"140","PALWSJ",7.390106,8.897715,8.845014,9.396461,8.024517,7.497145,8.831695,9.71211,7.216543,8.066317,8.373491,10.290323,7.715856,9.00441,10.062614,10.060732,12.584883,"EFS_G5"
"141","PALWVJ",5.512391,8.886153,8.528481,8.352922,7.168982,6.935384,8.051049,8.459952,7.026579,7.853298,8.376029,7.90015,6.593743,8.608487,8.868724,8.982291,11.981368,"EFS_L5"
"142","PALWXP",8.27105,9.293539,8.951276,9.3186,8.86706,7.694829,8.955469,9.449273,7.454173,8.574254,8.615441,9.862386,7.395193,9.667938,9.684264,9.991637,12.425915,"EFS_G5"
"143","PALXTB",8.234333,9.526532,8.808223,8.958509,7.966597,7.22721,8.638964,9.146581,7.783011,8.196265,9.225823,9.416128,7.001389,9.407163,9.12515,9.238109,12.154622,"EFS_G5"
"144","PALXTE",6.511443,8.559927,8.785842,9.285805,7.873127,7.495504,8.795871,9.154371,7.185803,8.594161,8.015315,9.20901,7.031925,9.732764,9.301627,9.487225,11.970733,"EFS_G5"
"145","PALXUM",7.342443,9.020863,8.946685,8.868483,8.324278,7.274443,8.752006,9.152309,7.965942,8.604184,8.492394,9.659891,7.087105,9.605834,9.344113,9.693154,12.13656,"EFS_L5"
"146","PALYEC",4.672149,8.041892,8.267019,8.505346,8.136602,6.290497,6.847691,8.422072,6.625447,8.21668,7.44161,8.75857,6.838856,8.72845,9.130453,8.657583,11.733915,"EFS_L5"
"147","PALYLZ",6.751105,8.835769,8.752264,8.733853,7.138771,6.895564,8.256859,9.043285,7.144291,8.565115,8.265947,9.574112,7.168016,9.542822,9.160252,9.330926,11.679013,"EFS_G5"
"148","PALYPW",10.846621,8.906825,8.401744,8.416307,6.602724,7.031118,7.887845,9.014393,6.342245,7.665548,8.171857,8.055062,7.026476,9.535048,8.321892,9.130418,11.549773,"EFS_L5"
"149","PALZRG",4.951689,8.081674,8.608243,8.741869,7.473146,6.932612,8.236462,8.837464,7.145894,7.716888,7.786708,6.537656,6.2183,8.484206,8.426845,9.558463,11.360766,"EFS_L5"
"150","PALZZV",6.472743,7.978328,8.144112,8.668565,6.608353,6.9535,8.233521,8.702118,7.450847,8.382937,8.06857,6.680739,6.452345,7.413948,7.820561,7.519052,11.732548,"EFS_L5"
"151","PAMACS",5.519751,8.487331,8.55517,8.458966,6.615048,7.171811,7.996868,8.664108,7.043857,8.378269,7.851239,9.627289,6.96281,8.793022,9.239854,9.632544,11.605683,"EFS_L5"
"152","PAMAFV",6.350153,8.888553,8.74134,8.761634,7.720952,7.105177,8.462666,9.020902,7.377697,8.324644,7.78837,9.545018,7.069591,8.912082,9.795795,9.822819,11.753504,"EFS_G5"
"153","PAMAJT",7.19019,8.796848,8.287841,8.664701,9.529549,6.722356,8.34504,8.893925,7.025649,7.589382,7.757829,8.599922,7.080429,8.824888,8.981624,8.983793,12.181186,"EFS_G5"
"154","PAMBDH",5.599225,7.633909,7.86527,8.474563,6.877106,6.319089,7.33907,8.011328,6.100478,7.990604,7.591177,6.836647,6.515287,7.928707,7.67226,8.806194,11.384881,"EFS_G5"
"155","PAMBMJ",4.660445,8.702,8.890615,9.28409,8.725422,6.868682,8.624377,9.19976,7.146638,8.397954,8.030146,7.152578,6.448698,9.326641,9.085951,8.590018,11.645456,"EFS_L5"
"156","PAMBYG",6.804905,8.148279,7.626424,9.110312,7.895533,7.125341,7.926877,8.219553,7.310185,8.643878,8.355125,6.791353,6.386261,7.78108,8.342175,8.021538,11.401325,"EFS_L5"
"157","PAMCXF",5.641986,7.785634,8.744303,8.305985,7.324249,6.738991,7.354344,8.288766,6.606781,7.480047,8.738309,7.115614,6.474109,9.077702,8.724705,9.040399,11.610777,"EFS_L5"
"158","PAMEHH",11.53426,9.223319,9.112861,8.724472,7.318095,7.329284,8.518012,9.470897,7.37915,7.773587,8.9256,8.186411,7.020725,8.678627,8.690134,8.228784,12.083592,"EFS_L5"
"159","PAMEZH",8.296836,9.065165,8.343802,8.546969,7.446666,6.768628,8.025805,9.107994,7.125517,7.490962,8.561735,8.483437,6.857976,8.81886,8.756319,9.382211,11.851664,"EFS_L5"
"160","PAMJED",6.521845,7.818332,8.339953,8.06298,6.812243,7.254328,7.417728,8.041857,6.705413,7.775177,7.874869,6.87562,6.445842,7.354914,8.030369,8.809405,11.354199,"EFS_L5"
"161","PAMLMY",6.098608,8.37336,8.987975,8.775901,6.889177,7.343219,8.220636,8.805955,6.797182,8.036285,7.797826,7.312482,6.808725,8.657762,9.098029,9.061573,12.140726,"EFS_G5"
"162","PAMLNB",5.104847,9.012418,8.239964,8.442099,6.404522,7.602071,8.211256,9.198712,7.139295,7.936761,8.117474,6.884692,6.571496,8.734873,8.883157,7.563784,10.447486,"EFS_G5"
"163","PAMMXF",5.186291,8.184182,8.699672,8.778221,8.063739,7.119797,8.310657,8.750013,6.971885,8.676401,8.184985,7.266938,6.443133,8.711494,9.205931,9.293798,11.631199,"EFS_L5"
"164","PAMMYR",4.562369,8.503266,8.492898,8.709839,5.572705,6.529056,7.61501,8.816462,6.096155,7.542786,7.772548,7.006295,8.096486,8.242366,8.441013,9.036269,11.124016,"EFS_L5"
"165","PAMNAL",6.16013,8.668466,8.882019,8.566626,8.323411,6.771013,8.412106,9.22893,7.061819,8.176013,8.263015,8.973861,6.813553,9.139236,9.932699,10.27631,11.79904,"EFS_G5"
"166","PAMNLH",7.483136,8.455712,8.358381,7.901949,6.553655,6.537835,7.376851,8.398342,6.04169,7.63264,7.498411,8.396236,7.069494,8.697019,9.092798,9.611976,11.417899,"EFS_L5"
"167","PAMVCL",6.843937,9.414585,8.585245,8.460394,8.534669,6.926715,8.640318,8.85995,7.196224,8.473868,8.233813,9.373387,7.091082,8.846816,9.325186,10.174724,12.421698,"EFS_G5"
"168","PAMXWF",5.167511,8.389018,9.079037,8.76098,6.312984,6.815716,8.05943,8.810867,7.138451,8.878386,8.559655,8.523316,6.74706,8.389998,8.85382,9.779429,11.987976,"EFS_L5"
"169","PAMYCE",5.280999,8.503917,8.218658,8.104444,6.590027,6.225364,7.610698,8.296649,7.149908,7.588009,7.956239,9.25014,7.148279,7.948453,8.710341,9.667246,11.900089,"EFS_L5"
"170","PAMYVA",4.688905,8.202468,8.696343,8.768733,7.162527,6.547102,7.635592,8.567343,6.904603,8.086899,7.990879,8.754659,6.57568,9.130078,8.433762,9.190832,11.509076,"EFS_G5"
"171","PAMZCE",7.567797,8.053645,7.795815,8.162539,7.45611,6.002112,7.108234,7.974736,7.355609,7.510523,7.860717,7.010974,6.563899,7.491698,8.214029,8.786114,11.469994,"EFS_G5"
"172","PAMZMG",4.792978,8.084613,8.199803,8.255406,7.193612,6.318215,7.108976,8.09232,6.877959,8.176349,7.894915,6.923783,6.546853,7.7483,7.726833,8.544608,11.669125,"EFS_L5"
"173","PAMZYM",4.539379,8.153771,8.886688,9.376209,5.07074,7.437202,8.012497,8.937912,7.287499,8.426988,8.427174,8.033819,7.377135,7.854136,8.281815,9.641547,11.462462,"EFS_G5"
"174","PANBJH",5.586233,8.366186,8.757695,8.64588,6.103002,6.658472,7.781149,8.430956,7.379217,8.198027,8.573183,9.269425,6.907091,7.608693,8.492548,9.356211,11.808678,"EFS_L5"
"175","PANBMJ",9.398886,9.112554,8.594371,8.148154,6.612546,6.393121,7.525019,8.727338,6.875186,7.091646,8.220736,9.052991,7.383517,9.046306,8.214103,9.870046,11.679891,"EFS_L5"
"176","PANBSP",6.228969,8.526975,8.917685,8.715261,7.350046,7.231964,8.170614,9.159376,6.684277,8.736341,7.87768,7.304874,6.699553,7.541348,9.973214,8.157506,11.306733,"EFS_L5"
"177","PANCYF",7.977969,9.143883,8.354582,8.700785,7.88852,6.688626,7.965118,8.699232,6.843569,8.213011,8.118462,6.677415,7.314566,8.359108,8.305352,7.415049,11.325167,"EFS_L5"
"178","PANDHZ",5.426288,8.371774,8.111598,7.849473,6.28235,5.969627,7.3386,8.275813,5.814045,7.249151,7.761729,8.348258,7.516191,7.597675,8.918039,9.442601,11.260132,"EFS_L5"
"179","PANGTS",6.152103,8.131723,8.972529,8.933766,6.182181,6.768763,8.04496,8.416774,7.490182,8.663216,8.734924,8.403507,6.350346,7.953349,8.723762,9.319561,11.580859,"EFS_G5"
"180","PANHUA",4.791643,8.395715,8.58286,8.640513,6.139409,6.608369,7.723895,8.484845,6.638922,7.888152,7.977062,8.214601,7.137187,8.53579,8.23044,8.816771,11.113287,"EFS_L5"
"181","PANLSG",4.925757,8.240576,8.376931,8.6802,7.608473,6.393997,7.695295,8.468588,6.271601,7.434104,7.692954,7.248391,6.523487,8.79365,8.606833,9.724291,11.169033,"EFS_L5"
"182","PANNIJ",4.785871,8.423592,8.168843,8.537111,7.18185,6.565532,7.22299,8.590026,6.744124,7.73211,8.104632,7.15533,6.602088,7.952057,8.968796,10.12202,11.468941,"EFS_L5"
"183","PANRRW",5.082753,8.821317,9.279937,9.135407,6.187392,6.970972,8.232794,8.86101,7.251047,8.351483,8.821109,9.347163,7.165445,9.211593,8.959198,9.068629,12.094253,"EFS_L5"
"184","PANUKV",4.465522,8.303055,8.551309,8.833757,8.32246,6.98733,8.110396,8.734508,7.885172,8.408854,8.276394,7.22496,6.446514,8.634314,8.159952,7.955342,11.759617,"EFS_L5"
"185","PANUVK",6.988228,9.273637,8.735433,8.331034,7.432642,7.500278,8.408806,9.458803,6.665471,8.193277,8.020935,8.155652,6.890522,8.986488,9.60907,9.941042,12.235647,"EFS_G5"
"186","PANVAN",5.086905,8.597545,7.983843,8.358435,5.94361,6.229802,7.268168,8.317097,6.025391,6.800567,7.303268,6.733255,7.531737,7.847111,8.933745,8.072556,10.585503,"EFS_L5"
"187","PANYGR",5.252381,8.42635,8.03162,8.609586,6.122712,7.083634,8.184051,8.766127,6.262267,7.36319,7.818686,8.479033,6.771713,8.031693,8.487367,10.465265,11.971174,"EFS_L5"
"188","PANZHT",6.553099,9.093456,8.811108,8.898314,6.703063,6.591178,8.08584,8.905015,7.221899,7.947336,8.278669,8.37326,7.189231,7.859342,8.418588,9.570307,11.7701,"EFS_G5"
"189","PANZPV",4.803868,8.99208,8.608549,8.910744,7.556587,6.919928,8.260722,9.221973,7.848999,8.424694,7.897671,9.031136,7.038996,8.531814,8.371411,8.657566,12.068763,"EFS_L5"
"190","PAPAKS",5.159697,7.448213,7.793292,8.77835,7.480744,6.065799,7.427555,7.867188,6.754863,6.67738,6.908678,7.762402,6.605682,7.340639,8.601642,8.46605,11.385233,"EFS_G5"
"191","PAPBGH",5.825735,8.636142,8.485687,8.919596,7.101766,6.741154,8.100816,8.922072,7.197733,7.437745,8.25935,8.484955,6.227828,8.147961,9.125332,7.395541,11.833731,"EFS_L5"
"192","PAPBZI",8.380042,9.781407,8.125914,9.014176,7.479256,7.336621,7.855159,8.754427,7.29408,8.292239,7.776003,6.995271,6.833833,7.889284,9.380093,8.474082,12.243875,"EFS_L5"
"193","PAPEFE",5.20255,8.546634,8.509661,8.986594,6.653164,6.492609,7.287461,8.438972,6.674725,7.32903,7.785148,6.85528,7.538235,8.157029,9.377371,9.271594,11.106917,"EFS_L5"
"194","PAPEJW",5.734829,8.3579,8.138774,8.305368,7.391537,6.540312,7.491737,8.392786,7.264516,7.919458,8.184701,7.110873,6.645614,8.672362,8.697209,8.668777,11.22831,"EFS_L5"
"195","PAPHPE",8.055127,9.024682,8.22824,7.942747,6.330659,7.06675,8.14426,8.915964,6.770072,7.417865,7.92148,8.235079,6.998104,9.0203,7.980864,9.485103,12.184721,"EFS_L5"
"196","PAPJLD",10.487785,9.434845,8.263535,8.145389,6.573221,6.529265,8.017591,9.104297,7.276293,7.116919,8.983353,8.221225,6.949154,9.182684,8.615332,10.009105,11.657175,"EFS_G5"
"197","PAPKWN",4.865479,9.040677,8.827412,8.996123,7.989179,6.718099,8.324412,9.103123,7.02117,8.111057,7.97501,7.325914,6.450564,8.113961,9.36662,9.254971,11.872895,"EFS_L5"
"198","PAPRTD",11.050687,9.612707,8.77384,8.828448,7.238177,7.506719,8.397962,9.786222,7.429875,7.59946,8.84859,9.062596,7.396616,9.200806,8.679919,9.598705,12.186466,"EFS_L5"
"199","PAPSEI",4.779501,9.201177,8.344232,8.99988,6.97111,6.899582,7.899537,8.821918,7.064805,8.05394,8.27191,6.417995,6.748263,8.210031,8.473648,7.614883,11.665052,"EFS_L5"
"200","PAPSKM",4.835835,8.80342,8.742879,8.914661,7.470139,6.919468,7.833232,8.878653,7.276599,7.705384,7.958411,7.907874,7.72614,8.414753,8.768958,9.522663,11.74043,"EFS_L5"
"201","PAPTIP",5.367248,8.854492,8.81012,9.394911,8.481107,7.245279,8.179121,8.850943,6.944525,8.176004,8.242713,6.647115,6.356005,8.476222,9.07076,10.287581,12.016822,"EFS_L5"
"202","PAPTLD",5.070505,8.196145,8.32734,7.896464,6.403853,6.35899,7.582624,8.555784,6.430883,7.666837,7.473463,9.281548,6.904998,7.784308,9.151087,9.573949,12.032707,"EFS_L5"
"203","PAPTLY",4.681901,8.22976,8.15814,8.890469,6.506497,6.470091,7.835482,8.283969,6.899353,7.910378,7.78158,7.368285,7.10252,8.014061,8.052856,7.717342,11.139157,"EFS_G5"
"204","PAPTMM",4.642285,9.399138,8.526239,9.154654,6.481576,7.02734,8.340372,9.516889,7.079324,8.676318,8.835923,6.475828,5.973378,7.777336,9.354296,6.946669,11.897732,"EFS_G5"
"205","PAPUAR",6.667189,9.038365,8.549887,9.087018,6.167737,6.830586,8.43825,8.784657,7.240433,8.430493,8.555399,7.875446,6.929026,8.310386,8.243026,9.11981,11.914557,"EFS_G5"
"206","PAPUEB",6.098747,8.911979,8.790258,9.416255,5.679843,6.967094,8.222723,8.72565,7.474863,8.534346,8.824122,7.000493,6.943533,7.879397,7.746485,7.502566,11.684078,"EFS_G5"
"207","PAPUNH",4.923517,8.693017,8.453901,9.222635,7.988876,7.299882,8.398657,8.858454,7.715272,8.171972,8.485456,6.980993,6.514757,8.859906,8.105155,7.972123,11.928578,"EFS_G5"
"208","PAPUTN",5.155978,8.034388,8.248887,8.827407,7.829044,6.720075,7.842666,8.580062,7.002497,8.218151,7.837916,6.987924,6.581552,8.351143,7.667472,8.261242,11.619494,"EFS_L5"
"209","PAPWUC",5.977101,9.088271,8.617409,9.224736,6.17958,7.064817,8.008587,9.593147,6.213984,7.631147,7.956647,6.540604,7.810421,8.520714,9.18982,6.945601,10.908368,"EFS_G5"
"210","PAPZYP",5.065761,9.111613,8.445389,9.139069,7.302759,6.912912,8.236435,8.749227,7.188538,8.484491,8.426644,6.681601,6.46122,8.39715,7.940494,7.202689,11.618037,"EFS_G5"
"211","PARABN",5.171896,8.272668,8.343288,8.571013,8.092714,6.428442,7.71882,8.37872,6.633704,7.44482,7.418562,7.048315,6.607767,7.485332,8.665074,8.324405,11.204442,"EFS_L5"
"212","PARACM",9.509361,9.406627,9.009503,9.146629,6.984733,7.064309,8.33421,9.055569,7.193845,7.917068,8.53427,8.010466,6.91603,8.883873,7.920409,8.623915,11.718518,"EFS_G5"
"213","PARAHE",5.269976,9.604394,9.002145,8.687169,6.813516,7.804889,8.137054,9.587604,6.155747,8.569,7.885269,8.821906,6.550224,9.27539,9.390352,9.703626,11.413603,"EFS_L5"
"214","PARCWT",4.653951,9.25111,8.898312,9.118124,6.901105,7.367946,8.60886,9.738617,7.419137,8.711162,8.57925,8.065879,6.733672,9.067347,8.792404,9.286252,12.256484,"EFS_L5"
"215","PARDUJ",6.755052,8.882968,8.63136,9.067662,6.590404,6.901844,7.99721,8.920676,7.441829,7.784646,8.398945,8.788689,6.905536,8.287157,8.982254,9.725844,11.909402,"EFS_L5"
"216","PAREGK",4.675959,8.902013,8.375758,8.495383,7.49239,7.212517,8.274082,9.09283,6.889155,7.513685,7.603825,7.902141,6.673781,8.890647,8.901576,9.495999,11.444153,"EFS_G5"
"217","PARFBW",10.829693,8.930189,8.494982,8.174213,7.486068,6.562956,7.671525,8.920889,6.486506,6.611234,8.077781,8.403858,6.885801,7.616287,8.372768,10.408964,11.741192,"EFS_G5"
"218","PARGDJ",10.915407,9.684758,8.626852,8.66677,7.946779,7.15165,8.527559,9.553993,6.882766,7.804157,8.725699,8.930732,6.781056,8.169486,8.684058,10.863491,12.275393,"EFS_L5"
"219","PARGUX",5.113888,8.790759,8.882168,8.847867,6.547565,7.086186,8.254923,9.052819,7.206322,7.992319,8.449127,8.328227,6.877998,8.820194,8.850595,10.188951,11.66166,"EFS_G5"
"220","PARHYL",4.695425,9.525344,8.963235,9.213907,8.599725,7.363533,8.61785,9.517658,7.065771,7.930064,8.10096,7.627452,6.693351,8.363784,9.217426,9.268814,11.935545,"EFS_G5"
"221","PARIKF",5.866365,8.921271,8.561733,9.082838,7.347794,6.785356,7.981674,8.329738,7.27616,8.211491,8.35045,6.585538,6.314794,7.716186,8.661083,8.713641,11.757898,"EFS_G5"
"222","PARIKT",8.406526,9.460412,8.696868,7.757483,6.354488,6.911537,8.351291,9.120764,7.405046,7.474486,8.635556,7.635723,6.846641,8.45253,8.740025,11.094038,12.412938,"EFS_L5"
"223","PARIRD",4.94276,7.791423,8.04929,8.299513,5.395256,6.074366,6.853044,8.204653,6.570726,7.39297,7.401803,6.740753,6.988217,6.61921,7.715317,7.591173,11.649138,"EFS_L5"
"224","PARJAR",5.267876,9.62583,8.984502,8.628259,7.615839,7.236436,8.385822,9.03505,6.95902,8.216994,8.461704,8.775842,6.876555,8.829286,9.145806,9.779857,11.942439,"EFS_L5"
"225","PARJTB",4.911181,8.419787,8.396012,9.057248,7.018449,6.835,7.972712,8.842319,6.842842,8.247722,8.097645,6.66892,6.129881,7.921008,7.882319,7.870542,11.794837,"EFS_L5"
"226","PARMFA",9.479205,10.204094,8.941552,8.868233,7.382747,7.447008,8.63678,9.782213,7.434327,7.971464,8.87562,8.679616,7.183199,8.937733,8.590218,9.839281,12.146985,"EFS_G5"
"227","PARMTT",4.670921,8.547807,8.262228,8.438315,5.424754,7.437057,8.026927,9.063728,6.162385,8.432831,8.080177,7.78228,6.542894,8.422781,8.889911,10.030779,12.037987,"EFS_L5"
"228","PARNCW",5.007154,8.31576,8.582658,8.569489,5.41245,7.178971,7.919465,8.60444,6.187504,8.333072,7.611485,8.687122,7.136272,7.831625,9.151175,8.254116,11.774508,"EFS_L5"
"229","PARNEE",4.523013,8.601598,8.060413,8.401047,8.067318,6.898433,8.231268,9.13441,5.945574,7.447554,7.734333,8.495464,6.463231,8.47875,9.008363,9.012015,11.67939,"EFS_L5"
"230","PARRBU",5.301881,8.747923,8.88422,9.089049,7.806506,6.897611,7.978589,8.920291,7.701152,7.868926,7.717315,6.845514,6.655134,7.605679,8.545347,8.937006,11.417433,"EFS_L5"
"231","PARSEA",6.107233,8.716903,8.587397,8.581183,6.586759,6.581943,7.973085,8.605954,6.527708,7.429338,8.355122,8.860458,6.946809,8.238922,8.430064,10.553754,12.044083,"EFS_G5"
"232","PARSHT",4.698434,8.864316,8.711395,9.104212,7.594137,7.028953,7.979225,8.79243,6.722524,7.470468,7.877359,7.229027,6.560279,8.137465,9.269232,9.379943,11.07114,"EFS_G5"
"233","PARUXY",5.284724,9.088636,8.540134,8.078977,5.790291,6.606278,7.846537,8.894816,6.541223,7.604719,8.056618,8.139166,7.106377,8.900939,9.231551,8.108328,11.601399,"EFS_G5"
"234","PARVME",4.597389,9.209447,9.06934,8.658608,6.793509,6.96289,7.987114,9.016436,6.660307,8.101343,8.258511,8.819391,7.053851,7.596557,8.533086,10.416073,11.980069,"EFS_L5"
"235","PARVRR",4.732779,8.908527,8.483114,8.639076,7.826358,6.525647,7.772888,8.826566,6.878591,8.146265,8.054845,7.034753,6.29004,8.359802,8.698951,8.173171,11.399135,"EFS_L5"
"236","PARXLM",8.359425,8.70021,7.950652,8.501706,6.569849,6.295979,7.667106,8.752751,6.372903,7.286799,7.89227,7.307663,6.537042,8.082294,9.086536,8.600039,11.505567,"EFS_L5"
"237","PASATK",6.097696,8.610963,8.500889,9.087666,5.638814,6.846391,8.211756,8.822305,7.209415,7.761372,7.965599,8.644454,7.000159,7.783197,8.339126,9.975558,11.751042,"EFS_L5"
"238","PASAZJ",9.118023,8.542498,8.579882,8.651589,6.035856,6.993042,7.839378,8.960432,7.020963,8.210272,7.924497,7.600521,7.390849,7.526154,8.398359,9.290214,12.296317,"EFS_G5"
"239","PASBEN",4.781679,8.652018,8.688103,8.42835,5.821326,7.002205,8.186235,8.854606,6.821832,8.268978,8.230705,8.305025,7.467299,7.622051,8.405947,10.163453,11.795215,"EFS_L5"
"240","PASCKI",6.379391,9.219122,8.329943,9.070287,6.827483,7.155641,8.351025,9.27,6.485307,8.242785,7.948498,8.233409,7.228855,8.86581,9.033229,9.421837,11.855766,"EFS_G5"
"241","PASCLP",6.073786,8.546706,8.662489,9.369508,7.260723,7.254061,8.714533,8.879773,7.701995,8.760403,8.728423,6.435666,6.104633,8.454389,7.527229,8.084107,11.410589,"EFS_L5"
"242","PASCUF",4.874727,9.110208,8.957815,9.391737,5.189518,7.385808,8.32723,9.24609,7.927745,8.232901,8.55874,7.494998,6.953022,9.404636,8.23916,8.543649,12.304885,"EFS_L5"
"243","PASDZJ",4.776907,8.656354,8.263957,8.727785,6.509479,6.437327,7.817855,8.724469,5.717496,7.420161,7.62738,6.700722,7.847602,8.317787,8.434465,7.261286,10.014324,"EFS_L5"
"244","PASFRV",5.457818,8.923265,9.076101,9.363409,6.571505,7.062387,8.386292,9.086194,6.351482,8.369334,8.056147,7.967314,7.15247,9.014005,8.733423,8.584768,11.590916,"EFS_L5"
"245","PASGPY",9.617279,9.196687,9.186958,9.063143,9.468179,7.054822,8.02063,8.607679,7.957735,8.620812,7.877174,8.999274,7.226735,8.620423,9.342026,9.134021,11.998483,"EFS_L5"
"246","PASJRT",7.174152,7.865713,8.182579,9.131956,7.609588,6.693,8.098092,8.179669,7.011067,8.196928,8.266904,6.578596,6.316433,8.184606,8.09421,7.925749,11.180335,"EFS_L5"
"247","PASJYB",4.753311,8.69996,8.563843,9.045478,7.8279,7.303923,8.086652,8.483944,6.903587,8.804813,7.44931,6.745131,6.448716,8.543362,8.732073,8.126939,11.411624,"EFS_L5"
"248","PASKJX",5.854765,8.897669,9.15544,9.10184,7.239542,6.726905,8.603491,8.927681,7.194372,8.218167,8.408764,7.821152,6.824433,9.119901,8.41766,9.459316,11.74858,"EFS_L5"
"249","PASLGS",4.77142,8.830445,9.175419,9.578141,8.007237,7.815745,8.337441,9.86637,6.954831,8.525856,8.24044,6.883949,7.020953,8.805781,9.221471,8.952305,12.297665,"EFS_L5"
